log_id,user_id,resource,action,ip_address,timestamp,status,device_type
1,115,hr-db,Read,7.206.0.4,2024-01-22 00:15:00,Success,Server
2,24,hr-db,Login,176.40.66.89,2024-07-11 00:12:00,Success,Desktop
3,48,/dashboard,Read,96.15.60.147,2024-04-09 07:28:00,Failure,Server
4,89,hr-db,Delete,210.231.132.193,2024-09-20 18:27:00,Failure,Desktop
5,124,/api/data,Read,207.57.254.64,2024-09-04 01:28:00,Success,Mobile
6,111,/hr/payroll,Read,210.219.213.174,2024-11-14 19:37:00,Success,Server
7,145,hr-db,Delete,28.97.234.58,2024-08-03 04:54:00,Success,Server
8,86,/admin/users,Write,66.90.116.123,2024-09-04 04:32:00,Success,Mobile
9,3,/settings,Logout,72.11.214.67,2024-06-21 05:12:00,Success,Server
10,21,/audit-logs,Delete,23.23.207.154,2024-09-21 13:08:00,Failure,Server
11,175,email-server,Export,210.207.166.109,2024-09-02 22:57:00,Success,Server
12,127,/dashboard,Delete,16.242.151.231,2025-01-28 18:48:00,Success,Server
13,182,/hr/payroll,Logout,206.139.15.171,2025-01-29 03:50:00,Success,Server
14,150,email-server,Delete,28.46.137.45,2024-11-08 22:50:00,Success,Desktop
15,16,hr-db,Export,59.0.64.233,2024-06-28 22:22:00,Success,Desktop
16,91,/finance/reports,Write,120.62.198.218,2024-06-02 18:24:00,Success,Mobile
17,139,/dashboard,Export,68.21.181.131,2024-08-08 15:06:00,Success,Mobile
18,117,/finance/reports,Read,148.76.225.72,2024-04-26 21:42:00,Failure,Server
19,96,/finance/reports,Export,40.79.245.25,2024-08-01 03:41:00,Failure,Desktop
20,69,/admin/users,Read,177.212.255.132,2024-05-05 18:16:00,Success,Desktop
21,164,/api/data,Login,156.3.17.137,2024-04-25 07:45:00,Success,Mobile
22,26,/dashboard,Logout,5.48.60.65,2024-05-28 20:20:00,Success,Mobile
23,137,hr-db,Write,169.19.59.27,2024-02-09 20:05:00,Success,Server
24,96,email-server,Logout,81.238.35.18,2024-12-24 00:13:00,Success,Desktop
25,98,/admin/users,Read,102.176.171.40,2025-01-29 12:10:00,Success,Server
26,124,/admin/users,Delete,36.118.61.237,2024-06-23 01:04:00,Success,Desktop
