attendance_id,employee_id,date,check_in,check_out,hours_worked,status
1,100,2024-06-03,10:38,18:42,7.9,Present
2,100,2024-06-04,,,,Absent
3,100,2024-06-05,09:10,,,Half Day
4,100,2024-06-06,09:08,17:57,6.2,Present
5,100,2024-06-07,09:05,17:53,4.8,Present
6,100,2024-06-10,10:36,17:41,6.3,Present
7,85,2024-06-03,08:47,17:22,6.3,Present
8,85,2024-06-04,08:35,16:02,4.1,Present
9,85,2024-06-05,10:59,17:16,6.0,Present
10,85,2024-06-06,,,,Absent
11,85,2024-06-07,08:34,18:16,7.3,Present
12,85,2024-06-10,10:51,19:57,4.9,Present
13,83,2024-06-03,08:06,18:03,6.6,Present
14,83,2024-06-04,09:27,19:53,4.3,Present
15,83,2024-06-05,08:47,,,Half Day
16,83,2024-06-06,10:28,16:13,5.6,Present
17,83,2024-06-07,09:17,17:47,7.3,Present
18,83,2024-06-10,09:36,18:51,6.7,Present
19,171,2024-06-03,09:39,,,Half Day
20,171,2024-06-04,10:45,19:18,8.8,Present
21,171,2024-06-05,,,,On Leave
22,171,2024-06-06,09:04,17:05,4.7,Present
23,171,2024-06-07,09:02,18:38,8.5,Present
24,171,2024-06-10,09:02,19:09,6.3,Present
25,114,2024-06-03,08:25,18:45,8.8,Present
26,114,2024-06-04,08:07,17:54,8.8,Present
27,114,2024-06-05,10:30,16:45,5.6,Present
28,114,2024-06-06,09:10,18:31,7.7,Present
29,114,2024-06-07,10:31,,,Half Day
30,114,2024-06-10,,,,On Leave
31,173,2024-06-03,08:36,19:16,6.1,Present
32,173,2024-06-04,10:39,18:32,5.2,Present
33,173,2024-06-05,,,,Absent
34,173,2024-06-06,10:22,19:46,4.2,Present
35,173,2024-06-07,09:32,18:35,8.6,Present
36,173,2024-06-10,09:33,18:14,7.7,Present
37,14,2024-06-03,09:49,18:51,5.1,Present
38,14,2024-06-04,08:41,19:59,4.4,Present
39,14,2024-06-05,10:13,17:24,7.7,Present
40,14,2024-06-06,10:59,19:07,7.2,Present
41,14,2024-06-07,10:50,18:08,8.3,Present
42,14,2024-06-10,,,,Absent
43,95,2024-06-03,09:34,17:28,7.7,Present
44,95,2024-06-04,08:28,16:29,4.4,Present
45,95,2024-06-05,10:56,16:29,5.4,Present
46,95,2024-06-06,08:44,17:02,5.3,Present
47,95,2024-06-07,09:20,19:20,6.2,Present
48,95,2024-06-10,09:47,17:25,5.0,Present
49,94,2024-06-03,10:48,16:13,8.6,Present
50,94,2024-06-04,10:51,17:56,4.9,Present
51,94,2024-06-05,09:48,,,Half Day
52,94,2024-06-06,08:14,19:38,7.7,Present
53,94,2024-06-07,,,,On Leave
54,94,2024-06-10,08:57,16:19,7.2,Present
55,230,2024-06-03,10:47,17:31,7.6,Present
56,230,2024-06-04,08:11,,,Half Day
57,230,2024-06-05,09:49,19:53,7.5,Present
58,230,2024-06-06,,,,Absent
59,230,2024-06-07,10:31,19:45,7.7,Present
60,230,2024-06-10,08:11,17:37,8.2,Present
61,229,2024-06-03,10:09,16:04,5.2,Present
62,229,2024-06-04,10:18,18:56,6.4,Present
63,229,2024-06-05,08:42,18:03,8.6,Present
64,229,2024-06-06,10:18,,,Half Day
65,229,2024-06-07,08:59,16:14,7.0,Present
66,229,2024-06-10,08:55,19:37,6.1,Present
67,134,2024-06-03,08:34,17:49,6.2,Present
68,134,2024-06-04,08:35,16:44,4.1,Present
69,134,2024-06-05,08:35,17:53,5.2,Present
70,134,2024-06-06,09:47,17:44,6.0,Present
71,134,2024-06-07,08:18,19:43,6.1,Present
72,134,2024-06-10,09:56,19:05,8.5,Present
73,203,2024-06-03,10:06,16:41,4.4,Present
74,203,2024-06-04,10:38,18:42,8.5,Present
75,203,2024-06-05,10:11,17:59,5.2,Present
76,203,2024-06-06,09:47,18:45,7.4,Present
77,203,2024-06-07,,,,On Leave
78,203,2024-06-10,10:09,16:04,8.5,Present
79,4,2024-06-03,10:35,16:58,4.0,Present
80,4,2024-06-04,08:46,17:41,8.5,Present
81,4,2024-06-05,,,,Absent
82,4,2024-06-06,09:19,,,Half Day
83,4,2024-06-07,,,,On Leave
84,4,2024-06-10,08:51,16:05,7.1,Present
85,99,2024-06-03,09:07,16:32,8.7,Present
86,99,2024-06-04,09:16,17:21,5.2,Present
87,99,2024-06-05,09:38,18:05,8.0,Present
88,99,2024-06-06,10:16,19:47,6.5,Present
89,99,2024-06-07,10:08,17:05,4.3,Present
90,99,2024-06-10,09:58,16:38,8.3,Present
91,118,2024-06-03,10:15,19:49,6.9,Present
92,118,2024-06-04,,,,Absent
93,118,2024-06-05,08:19,,,Half Day
94,118,2024-06-06,08:42,,,Half Day
95,118,2024-06-07,08:54,18:09,5.7,Present
96,118,2024-06-10,10:24,17:06,4.3,Present
97,266,2024-06-03,08:27,18:18,8.5,Present
98,266,2024-06-04,09:50,,,Half Day
99,266,2024-06-05,09:53,19:05,7.4,Present
100,266,2024-06-06,10:34,,,Half Day
101,266,2024-06-07,08:36,19:08,7.6,Present
102,266,2024-06-10,08:49,19:23,8.0,Present
103,131,2024-06-03,08:03,16:44,8.8,Present
104,131,2024-06-04,08:46,16:33,7.6,Present
105,131,2024-06-05,10:40,17:13,4.2,Present
106,131,2024-06-06,08:30,19:35,4.8,Present
107,131,2024-06-07,,,,Absent
108,131,2024-06-10,09:56,,,Half Day
109,252,2024-06-03,10:32,16:02,5.5,Present
110,252,2024-06-04,08:52,,,Half Day
111,252,2024-06-05,09:36,16:23,8.2,Present
112,252,2024-06-06,10:41,18:42,9.0,Present
113,252,2024-06-07,08:58,18:08,8.0,Present
114,252,2024-06-10,09:13,16:56,6.6,Present
115,57,2024-06-03,10:52,19:21,8.6,Present
116,57,2024-06-04,08:10,18:18,4.6,Present
117,57,2024-06-05,08:20,16:55,4.9,Present
118,57,2024-06-06,08:13,,,Half Day
119,57,2024-06-07,09:00,16:09,5.2,Present
120,57,2024-06-10,10:08,17:21,8.0,Present
121,113,2024-06-03,09:11,,,Half Day
122,113,2024-06-04,10:05,18:30,8.5,Present
123,113,2024-06-05,10:12,,,Half Day
124,113,2024-06-06,09:54,16:16,4.5,Present
125,113,2024-06-07,08:21,18:14,8.0,Present
126,113,2024-06-10,08:45,17:53,5.5,Present
127,245,2024-06-03,09:28,18:41,6.1,Present
128,245,2024-06-04,08:12,17:03,5.4,Present
129,245,2024-06-05,08:42,18:35,7.9,Present
130,245,2024-06-06,09:42,18:15,5.7,Present
131,245,2024-06-07,09:08,,,Half Day
132,245,2024-06-10,09:53,16:46,7.7,Present
133,5,2024-06-03,,,,Absent
134,5,2024-06-04,08:36,18:49,5.2,Present
135,5,2024-06-05,08:13,,,Half Day
136,5,2024-06-06,10:55,17:44,6.7,Present
137,5,2024-06-07,09:21,19:49,6.8,Present
138,5,2024-06-10,08:54,,,Half Day
139,174,2024-06-03,08:00,16:23,4.9,Present
140,174,2024-06-04,09:52,17:28,7.0,Present
141,174,2024-06-05,08:49,18:25,5.6,Present
142,174,2024-06-06,10:23,16:16,6.2,Present
143,174,2024-06-07,08:07,18:02,7.6,Present
144,174,2024-06-10,10:59,17:17,4.1,Present
145,271,2024-06-03,09:50,16:51,7.4,Present
146,271,2024-06-04,08:06,16:35,7.6,Present
147,271,2024-06-05,08:54,19:51,5.2,Present
148,271,2024-06-06,,,,Absent
149,271,2024-06-07,09:12,17:06,5.8,Present
150,271,2024-06-10,08:54,19:55,8.6,Present
151,253,2024-06-03,09:20,17:52,8.9,Present
152,253,2024-06-04,,,,Absent
153,253,2024-06-05,08:59,17:16,9.0,Present
154,253,2024-06-06,10:42,,,Half Day
155,253,2024-06-07,08:20,17:31,8.2,Present
156,253,2024-06-10,10:05,17:21,4.2,Present
157,282,2024-06-03,08:35,19:47,5.3,Present
158,282,2024-06-04,,,,On Leave
159,282,2024-06-05,09:23,19:45,6.6,Present
160,282,2024-06-06,08:58,17:22,4.4,Present
161,282,2024-06-07,10:02,17:51,6.2,Present
162,282,2024-06-10,10:19,17:55,6.7,Present
163,172,2024-06-03,08:24,17:57,7.5,Present
164,172,2024-06-04,09:29,,,Half Day
165,172,2024-06-05,08:31,19:39,7.9,Present
166,172,2024-06-06,,,,Absent
167,172,2024-06-07,10:42,,,Half Day
168,172,2024-06-10,08:00,,,Half Day
169,72,2024-06-03,08:53,18:47,7.2,Present
170,72,2024-06-04,09:52,18:55,7.6,Present
171,72,2024-06-05,08:00,18:14,5.3,Present
172,72,2024-06-06,08:23,17:44,5.9,Present
173,72,2024-06-07,09:14,17:43,6.5,Present
174,72,2024-06-10,,,,On Leave
175,84,2024-06-03,09:40,16:09,7.0,Present
176,84,2024-06-04,08:03,16:50,7.4,Present
177,84,2024-06-05,10:05,16:07,7.2,Present
178,84,2024-06-06,09:23,19:34,8.0,Present
179,84,2024-06-07,09:58,17:16,6.5,Present
180,84,2024-06-10,09:14,16:21,5.1,Present
181,292,2024-06-03,10:57,,,Half Day
182,292,2024-06-04,09:57,18:01,8.0,Present
183,292,2024-06-05,08:35,17:33,7.2,Present
184,292,2024-06-06,09:05,17:29,7.3,Present
185,292,2024-06-07,09:43,16:31,5.1,Present
186,292,2024-06-10,,,,Absent
187,43,2024-06-03,09:07,18:24,5.1,Present
188,43,2024-06-04,08:34,18:27,8.1,Present
189,43,2024-06-05,,,,Absent
190,43,2024-06-06,10:45,19:11,4.3,Present
191,43,2024-06-07,,,,On Leave
192,43,2024-06-10,10:14,17:48,4.6,Present
193,298,2024-06-03,10:16,17:56,8.4,Present
194,298,2024-06-04,10:18,16:10,5.9,Present
195,298,2024-06-05,09:39,17:16,5.8,Present
196,298,2024-06-06,08:15,,,Half Day
197,298,2024-06-07,08:07,16:32,4.5,Present
198,298,2024-06-10,09:46,16:52,5.6,Present
199,24,2024-06-03,08:16,17:42,6.6,Present
200,24,2024-06-04,09:14,19:40,7.9,Present
201,24,2024-06-05,10:02,18:42,5.4,Present
202,24,2024-06-06,,,,On Leave
203,24,2024-06-07,10:49,16:46,5.0,Present
204,24,2024-06-10,09:48,,,Half Day
205,18,2024-06-03,08:56,16:46,5.4,Present
206,18,2024-06-04,08:13,18:16,6.2,Present
207,18,2024-06-05,08:30,16:10,8.3,Present
208,18,2024-06-06,09:48,19:12,5.5,Present
209,18,2024-06-07,09:07,18:29,8.9,Present
210,18,2024-06-10,10:03,19:58,5.3,Present
211,157,2024-06-03,10:41,17:39,8.2,Present
212,157,2024-06-04,08:34,18:44,4.5,Present
213,157,2024-06-05,10:00,17:49,8.9,Present
214,157,2024-06-06,10:28,18:23,6.1,Present
215,157,2024-06-07,10:41,,,Half Day
216,157,2024-06-10,08:23,16:31,6.1,Present
217,7,2024-06-03,08:30,17:26,5.4,Present
218,7,2024-06-04,09:48,17:31,4.6,Present
219,7,2024-06-05,09:15,16:31,4.3,Present
220,7,2024-06-06,10:21,,,Half Day
221,7,2024-06-07,08:16,17:49,7.8,Present
222,7,2024-06-10,09:13,17:15,4.3,Present
223,77,2024-06-03,09:44,18:31,5.4,Present
224,77,2024-06-04,09:38,17:25,6.0,Present
225,77,2024-06-05,08:06,19:01,6.6,Present
226,77,2024-06-06,08:58,19:51,5.4,Present
227,77,2024-06-07,08:48,17:17,8.5,Present
