metric_id,campaign_id,metric_date,impressions,clicks,conversions,revenue_attributed,ctr
1,13,2025-01-07,151522,17173,63,11682.08,0.0269
2,23,2022-07-29,181413,15281,795,5778.6,0.1244
3,5,2023-11-26,375757,9764,419,22857.68,0.0293
4,1,2023-08-15,160345,3492,559,18354.09,0.0066
5,5,2022-06-08,109747,16489,995,9987.71,0.0984
6,23,2022-05-17,137441,14301,252,18043.41,0.1497
7,26,2024-01-23,281941,9091,549,34720.55,0.1106
8,50,2023-10-24,465918,9803,789,35383.78,0.0693
9,12,2022-01-04,224153,18600,845,11563.39,0.0974
10,19,2024-11-11,460913,12794,956,24218.85,0.0689
11,44,2023-01-14,57930,19565,488,19603.36,0.019
12,17,2023-02-15,73581,13803,310,36021.08,0.0135
13,11,2023-01-15,189775,11886,122,14639.14,0.0835
14,33,2023-11-04,12681,4081,555,9073.35,0.0882
15,1,2022-07-10,6191,3584,57,8531.94,0.0376
16,38,2022-03-22,7824,3357,616,29126.8,0.0678
17,15,2023-07-12,295106,18256,253,15262.82,0.1294
18,39,2022-03-16,223008,38,463,32821.24,0.1255
19,5,2024-12-27,492076,15140,180,40559.5,0.0896
20,4,2023-01-24,137219,10312,56,33808.09,0.0822
21,49,2024-10-28,387731,5561,681,2167.03,0.0383
22,26,2023-08-06,330227,6809,628,31560.29,0.1353
23,31,2023-08-18,95712,4887,332,24518.58,0.0894
24,47,2024-11-11,116980,323,316,42833.7,0.0205
25,18,2023-10-20,108419,16661,164,46417.02,0.0303
26,11,2022-07-05,114297,1204,70,42200.33,0.0335
27,50,2024-02-26,468425,16849,793,8128.25,0.0602
28,12,2023-05-21,181099,13774,102,3194.43,0.1312
29,13,2024-04-20,52469,9277,502,40682.74,0.0588
30,38,2024-07-05,293388,17806,153,12359.11,0.0515
31,14,2022-05-25,486315,17437,957,42511.48,0.1076
32,17,2023-08-23,459104,10099,723,39494.59,0.0904
33,20,2024-11-19,276524,6590,343,19596.72,0.1423
34,32,2022-07-22,427543,14120,566,32199.9,0.0097
35,31,2024-07-26,46133,1908,984,27253.1,0.0654
36,39,2024-03-14,193302,8540,40,19779.99,0.1391
37,4,2022-10-26,104454,12130,412,36195.23,0.1173
38,20,2022-03-11,248156,14870,112,42007.34,0.1286
39,6,2022-02-16,167594,10085,250,16546.02,0.1191
40,6,2023-01-27,232963,3297,519,11693.09,0.0399
41,38,2024-10-02,368123,19061,586,7466.35,0.0239
42,7,2022-05-01,377778,17927,894,2123.77,0.0675
43,24,2024-11-04,498255,10610,624,40091.57,0.0946
