email_id,campaign_id,subject,sent_to_count,open_count,click_count,bounce_count,sent_at
1,21,Most short owner be prove,8131,14044,65,148,2023-01-14 08:50:00
2,9,West feel owner weight himself rise person attack,21499,9167,2138,201,2024-02-06 16:37:00
3,38,Everybody structure hour yourself your item should certain,14208,3329,2010,405,2023-11-25 15:05:00
4,29,Accept election why college their within these scene,28860,9011,2960,98,2024-11-05 08:37:00
5,40,Many half eight three skin maybe,18213,410,4296,376,2023-07-08 23:28:00
6,30,Seven out get and throw feeling later,10177,7731,3719,78,2024-11-12 00:39:00
7,9,Security pattern send,33105,7538,612,152,2022-01-01 00:54:00
8,44,Majority serve well tough sea traditional,19172,13058,3097,472,2023-06-10 01:33:00
9,32,Arm reality program,39921,8927,830,488,2024-08-29 07:27:00
10,8,Low represent stock manager establish sure amount,33854,8651,2771,230,2023-12-05 04:17:00
11,24,Black best professional actually maintain,11072,14988,947,199,2023-08-22 05:41:00
12,3,Camera rate because those glass food concern generation,45895,1578,918,376,2024-11-25 01:33:00
13,11,Response represent project cut,45503,13677,4960,166,2023-06-01 20:35:00
14,42,Set senior majority tonight,21381,2239,696,374,2022-06-17 20:08:00
15,8,Turn where quite institution this minute,45967,6024,4733,454,2023-09-30 13:15:00
16,13,Audience grow life realize half indeed indicate,16705,9258,888,384,2024-08-26 18:42:00
17,35,Increase worry through woman not inside,17040,2466,3596,500,2024-05-10 18:58:00
18,3,Hold imagine add notice have,7136,7700,3837,13,2024-02-08 19:41:00
19,4,Receive bring trade despite,45748,13135,2710,479,2023-04-14 06:29:00
20,4,Free worker cost end he avoid chance house,45422,2073,4920,324,2023-04-29 12:14:00
21,39,Attack campaign we political involve nothing,48873,10049,4292,412,2024-04-12 23:21:00
22,5,Newspaper service theory often network,17517,10543,1784,208,2023-05-29 13:11:00
23,37,Loss send medical paper impact cup occur,25471,11732,4695,28,2023-12-08 09:45:00
24,22,Around class phone employee daughter,12306,1272,4835,20,2022-12-07 12:30:00
25,8,Themselves writer Congress girl nor bad economy,12736,5277,4409,401,2023-07-17 00:18:00
26,32,Above building lot if true,27680,13327,487,259,2023-05-22 23:01:00
27,29,Book hospital win,16682,5453,2296,215,2022-04-09 00:47:00
28,32,Bed stay television during you prepare student guy,38592,7589,2092,30,2024-08-23 13:33:00
29,23,Difficult home information change cover including,25534,4469,2125,428,2022-11-08 10:50:00
30,22,Individual deal say make health per,38286,3831,2032,129,2024-12-26 16:24:00
31,37,Coach part finally assume son,21418,5101,3340,279,2022-05-04 00:08:00
32,12,Study report describe,1469,10950,3641,216,2023-07-17 12:23:00
33,13,Light adult sell final,5012,11650,4087,460,2024-02-05 22:56:00
34,40,Company know ten would debate soldier camera,22653,9315,3441,68,2024-08-27 08:08:00
35,14,Skin stuff ball news real,15687,4973,1010,457,2022-11-10 17:44:00
36,16,Actually drug wish about,19344,13509,1961,326,2024-08-21 00:15:00
37,30,Tax pull rest forget program including,22823,3112,3224,444,2024-05-03 16:23:00
38,31,Product no customer power,23850,3787,4901,33,2024-02-23 20:38:00
39,7,Report behind us maybe,12873,10234,2163,194,2023-04-18 07:08:00
40,31,Level somebody air vote,26148,6550,732,192,2023-03-22 19:32:00
41,18,Interest hotel hot result pattern lose,34807,1755,996,234,2022-11-07 04:21:00
42,8,Available east increase support ok evidence act,11933,13162,2672,246,2023-09-17 16:07:00
43,23,With man any community professional,14185,2992,2530,221,2022-04-17 20:24:00
44,15,Write air different guess generation,40172,8466,892,320,2024-12-09 00:33:00
45,22,Program blue cut report science,23498,4502,1418,17,2024-03-12 00:39:00
46,41,Suddenly large read increase,40185,11748,2056,312,2024-03-19 01:03:00
47,46,Old garden spend stock,32322,9023,4701,381,2023-06-13 18:49:00
48,49,Approach idea lawyer article smile,14563,5598,63,205,2022-07-20 15:29:00
49,12,Red significant form exist,13927,14734,4195,68,2022-03-06 14:22:00
50,5,Factor my authority green son outside measure medical,7914,3977,2467,286,2024-05-31 10:28:00
51,38,Training trade available building,27947,11624,4572,57,2022-01-25 07:11:00
52,4,Level market environmental become hundred be tax key,9502,2724,2132,1,2022-07-22 15:14:00
53,44,Case total coach card water seem,10996,9211,688,163,2023-10-22 22:19:00
54,14,Style pretty prevent remain,4727,2387,2139,324,2024-04-15 15:16:00
55,1,Project agency tax capital figure task oil,46363,119,2374,3,2023-09-08 07:28:00
56,36,Couple system sport science floor,7116,14271,2342,35,2022-08-28 18:23:00
