invoice_id,order_id,invoice_date,due_date,amount,status,payment_method
1,1,2022-06-22,2022-07-22,430.82,Paid,Cash
2,2,2023-02-09,2023-03-11,1777.43,Unpaid,Cash
3,3,2024-08-02,2024-09-01,1043.9,Paid,Bank Transfer
4,4,2024-02-23,2024-03-24,661.93,Paid,Cash
5,5,2024-07-02,2024-08-01,683.54,Unpaid,Bank Transfer
6,6,2024-10-18,2024-11-17,1716.61,Overdue,Credit Card
7,7,2024-05-08,2024-06-07,979.26,Paid,Credit Card
8,8,2024-02-23,2024-03-24,288.71,Paid,Credit Card
9,9,2024-10-25,2024-11-24,1594.9,Unpaid,Credit Card
10,10,2022-03-02,2022-04-01,953.83,Overdue,Cash
11,11,2023-04-22,2023-05-22,352.28,Paid,Bank Transfer
12,12,2022-04-25,2022-05-25,266.26,Paid,Credit Card
13,13,2022-12-22,2023-01-21,674.27,Paid,Cash
14,14,2022-02-27,2022-03-29,660.98,Unpaid,Bank Transfer
15,15,2024-10-05,2024-11-04,1494.24,Unpaid,Bank Transfer
16,16,2023-03-25,2023-04-24,1038.04,Paid,Cash
17,17,2022-09-25,2022-10-25,834.32,Paid,Cash
18,18,2022-10-30,2022-11-29,1300.71,Overdue,Credit Card
19,19,2022-05-29,2022-06-28,1522.31,Unpaid,Cash
20,20,2023-10-23,2023-11-22,1738.98,Unpaid,Credit Card
21,21,2022-12-23,2023-01-22,659.69,Paid,Credit Card
22,22,2022-12-26,2023-01-25,57.51,Paid,Credit Card
23,23,2022-01-04,2022-02-03,1544.17,Paid,Bank Transfer
24,24,2023-10-14,2023-11-13,1107.56,Unpaid,Cash
25,25,2022-06-09,2022-07-09,680.26,Overdue,Cash
26,26,2023-11-19,2023-12-19,432.62,Paid,Cash
27,27,2022-08-10,2022-09-09,1842.91,Paid,Credit Card
28,28,2024-04-27,2024-05-27,1814.97,Unpaid,Bank Transfer
29,29,2023-04-07,2023-05-07,713.55,Unpaid,Bank Transfer
30,30,2023-10-15,2023-11-14,116.57,Paid,Bank Transfer
31,31,2022-06-03,2022-07-03,668.54,Paid,Credit Card
32,32,2022-03-05,2022-04-04,1891.8,Unpaid,Credit Card
33,33,2022-07-27,2022-08-26,522.38,Paid,Credit Card
34,34,2023-06-28,2023-07-28,1265.16,Paid,Bank Transfer
35,35,2024-10-02,2024-11-01,1027.17,Overdue,Bank Transfer
36,36,2024-09-10,2024-10-10,1499.47,Paid,Credit Card
37,37,2022-08-25,2022-09-24,227.8,Paid,Cash
38,38,2024-03-04,2024-04-03,1926.75,Paid,Credit Card
39,39,2024-06-19,2024-07-19,754.15,Unpaid,Credit Card
40,40,2022-07-18,2022-08-17,964.02,Paid,Bank Transfer
41,41,2023-04-11,2023-05-11,1767.93,Paid,Bank Transfer
42,42,2024-08-30,2024-09-29,616.88,Paid,Bank Transfer
43,43,2022-03-13,2022-04-12,933.87,Unpaid,Credit Card
44,44,2024-07-08,2024-08-07,1356.9,Paid,Bank Transfer
45,45,2022-06-10,2022-07-10,505.11,Unpaid,Bank Transfer
46,46,2022-05-18,2022-06-17,1085.6,Paid,Cash
47,47,2024-11-30,2024-12-30,1236.22,Overdue,Cash
48,48,2024-05-09,2024-06-08,987.0,Unpaid,Bank Transfer
49,49,2022-07-25,2022-08-24,1571.44,Paid,Cash
50,50,2023-12-06,2024-01-05,559.78,Paid,Cash
51,51,2022-03-18,2022-04-17,494.07,Paid,Cash
52,52,2024-04-02,2024-05-02,1431.47,Paid,Cash
53,53,2023-07-05,2023-08-04,721.2,Paid,Bank Transfer
54,54,2024-10-03,2024-11-02,1504.81,Paid,Credit Card
55,55,2023-10-20,2023-11-19,1925.36,Paid,Bank Transfer
56,56,2023-03-09,2023-04-08,790.8,Unpaid,Cash
