incident_id,title,severity,category,status,reported_by,assigned_to,created_at,resolved_at
1,Read every local hospital civil,Low,Network,Resolved,samuelanderson,deannacruz,2024-12-22 22:51:00,2023-12-31 04:47:00
2,Meeting value body return miss ready even,Medium,Hardware,Closed,julie01,allenjustin,2024-01-13 14:01:00,2024-01-28 11:00:00
3,Serious protect new party sometimes,Medium,Security,In Progress,courtneymadden,hernandezandrew,2023-01-13 15:34:00,2023-11-26 13:09:00
4,Information game loss cost run result interesting,Low,Hardware,Resolved,brenda69,cody79,2024-08-17 21:52:00,2023-01-28 04:59:00
5,Three foot tax ground serve,Low,Security,Closed,trevor68,norrisdakota,2023-03-08 03:35:00,2023-01-22 23:07:00
6,Discuss term day include,Critical,Access,Closed,garciaveronica,ohiggins,2023-08-14 13:53:00,
7,Despite best either truth important,Low,Access,In Progress,dawn73,petersonjoel,2024-08-08 00:52:00,2024-11-01 14:03:00
8,Behavior economy our second,Critical,Hardware,Closed,bradleybarker,dianedominguez,2024-05-26 22:25:00,2024-06-25 00:22:00
9,Unit majority yeah,Low,Access,Resolved,gclay,gordonjerome,2024-05-17 15:50:00,
10,Everyone interview give ground laugh receive agree,Medium,Access,Resolved,hooperashley,james23,2024-12-15 12:32:00,
11,Run cultural decide,Low,Network,Resolved,kennethbrown,iperez,2024-03-13 20:41:00,2024-09-07 12:19:00
12,Brother treatment daughter,Medium,Security,Resolved,mary62,basserik,2024-10-12 10:38:00,2024-12-14 18:43:00
13,Account hear mouth range throw board,High,Access,Closed,jasonhernandez,hamiltonholly,2023-06-02 01:22:00,2023-05-05 06:23:00
14,Entire minute never quality,Medium,Access,Closed,olivia29,stephaniecoleman,2024-11-09 14:51:00,2024-06-28 21:39:00
15,Student knowledge firm paper unit sometimes structure cultural,High,Network,Open,nicholas87,baxterdarrell,2024-01-01 03:27:00,2023-10-01 23:33:00
16,Too discover record wear,Medium,Security,In Progress,castroralph,brianwhite,2024-07-08 03:35:00,
17,Sometimes drive anything teach myself,High,Security,In Progress,allenandrea,alicia14,2024-04-05 09:31:00,2023-09-03 11:55:00
18,Forward carry condition into sure,Low,Access,Closed,donaldtyler,holmescolleen,2023-12-08 20:35:00,2024-07-04 07:23:00
19,Instead plant bag set,Medium,Access,Resolved,rmartin,anthony00,2023-05-08 05:22:00,
20,Television rich base,Critical,Network,Closed,katherinemorton,millerjames,2023-03-05 22:24:00,2024-03-13 20:36:00
21,Keep thus positive arm,High,Security,Closed,ballvanessa,nicholas18,2023-04-25 18:05:00,2024-08-23 18:12:00
22,Sell end be spend outside,Medium,Hardware,Closed,hmitchell,hernandezmadison,2023-08-06 20:04:00,2024-07-23 15:35:00
23,May small fire light medical,Medium,Software,Closed,mjohnson,smithjose,2024-06-27 04:32:00,2025-01-12 15:23:00
24,Help PM become rich every,Medium,Software,Closed,richardhart,robertsalinas,2023-07-02 13:44:00,2023-05-21 19:43:00
25,Direction focus product hand start size heart,Medium,Access,Closed,tranbenjamin,nbrown,2023-09-17 15:32:00,
26,Improve task next peace skill,High,Hardware,Resolved,bartonkimberly,davidbrown,2024-11-11 18:12:00,2024-01-14 03:28:00
27,Up tend education,Medium,Hardware,Closed,zamorarose,greenjessica,2023-05-21 18:14:00,
28,Natural list they eat,Low,Access,Resolved,nicholasgallagher,rossjohn,2023-01-09 07:36:00,2024-12-04 23:51:00
29,Center hundred question rise,Low,Software,Closed,rickey20,natashaavila,2024-10-21 20:03:00,2024-05-09 22:42:00
30,Happy rise month degree,Medium,Security,Closed,susan41,ymarks,2024-07-30 02:29:00,2023-03-18 04:42:00
31,Watch place church watch health,Medium,Software,Closed,michelle02,ukramer,2023-07-31 11:15:00,2024-12-14 02:04:00
32,Future raise family where treatment age,Low,Security,Resolved,harrisonkyle,michelle89,2024-08-24 04:57:00,2023-06-12 01:39:00
33,Measure truth sign room happy new may,Medium,Network,Closed,mariahill,stevendecker,2023-07-12 12:37:00,2024-01-19 14:41:00
34,Purpose future face police,Medium,Security,In Progress,john33,james84,2024-09-18 08:12:00,2023-04-14 13:34:00
35,Fire remember house develop center bill behind outside,Medium,Security,Closed,ygriffith,stephenscatherine,2024-06-17 17:20:00,2024-02-15 18:48:00
36,Drop before quickly manage care,Medium,Access,Closed,yvonne06,cummingsstephanie,2023-10-07 08:51:00,
37,Seven market which yard believe whether teach single,Low,Network,Open,smithjack,osbornanthony,2023-05-30 15:49:00,2024-05-01 08:39:00
38,Free increase near study,High,Software,Closed,sancheznicholas,fwalsh,2023-06-03 03:58:00,2023-04-21 16:51:00
39,Role statement other whether traditional,High,Access,Closed,khanerin,yrichardson,2024-09-21 13:39:00,2024-09-30 20:07:00
40,Care around find audience but moment,Medium,Hardware,Closed,daniel43,randywoods,2024-10-04 18:15:00,2023-11-26 06:33:00
41,Only series imagine,Medium,Access,Closed,lisamoore,catherinewagner,2023-03-21 03:05:00,2024-05-27 01:54:00
42,Drive every front baby,High,Security,Resolved,sarah42,cshepard,2023-02-24 20:05:00,2024-02-27 09:53:00
43,Piece sing front manage how itself,Low,Hardware,Resolved,stonecody,ronaldbradford,2023-11-06 10:58:00,2024-03-03 05:00:00
44,Want themselves area,Low,Network,Closed,michaelsanders,meyerskathryn,2023-12-16 22:16:00,2024-09-30 22:44:00
45,Child lay fly seat beyond compare,High,Hardware,Resolved,jonathanpeterson,rothwilliam,2023-01-05 15:53:00,2024-04-01 07:42:00
46,Job board phone magazine,Medium,Software,Resolved,christineriggs,kelly01,2023-03-05 19:59:00,2023-09-24 15:43:00
47,Fight never soldier world sister,Critical,Network,Resolved,kenneth78,ricklewis,2023-09-13 18:33:00,2023-03-21 01:28:00
48,Pass buy bill have reality adult,Medium,Software,In Progress,romerovictoria,prattjustin,2023-07-14 10:08:00,
49,Various research laugh effort,Low,Network,Closed,richardharper,kwang,2023-01-01 05:10:00,2023-04-21 15:21:00
50,Thank prevent store politics service second,Medium,Security,Resolved,hdavis,dustin59,2024-09-13 10:27:00,2023-03-30 16:46:00
51,Pm notice chair north family sign,Low,Software,In Progress,ashley32,danielcombs,2023-07-16 06:43:00,2024-02-07 11:46:00
52,Family center wide identify nice,Low,Hardware,Resolved,russellholly,omoore,2024-09-03 02:21:00,2024-12-15 10:35:00
53,Lead individual through politics,High,Access,Open,karacollins,abigailrobinson,2024-01-18 23:30:00,2024-08-03 01:45:00
54,Traditional practice together minute price night admit standard,Medium,Software,Resolved,maria56,jarvisrachel,2023-06-24 02:52:00,2023-04-30 20:43:00
55,Particular game near support chair opportunity grow,High,Software,In Progress,ryanadams,wberry,2024-08-19 19:17:00,2023-10-26 03:18:00
56,Piece type describe no speak better,Critical,Network,In Progress,katieaguirre,ashley14,2024-06-09 11:44:00,2024-08-15 18:12:00
57,Since human chance onto significant,Medium,Software,Closed,connie00,timothywalker,2024-02-27 10:09:00,
58,Property message outside,High,Hardware,Closed,dbrown,basskathryn,2023-02-01 03:28:00,2023-02-14 04:03:00
59,Dark ball cover partner statement statement agent,Low,Access,Closed,brooksbrian,christopher91,2024-12-19 09:27:00,2024-05-31 16:33:00
