ticket_id,incident_id,ticket_type,raised_by,assigned_team,priority,status,created_at,closed_at
1,56.0,Problem,odavis,Desktop Support,Medium,Closed,2023-12-18 04:54:00,2024-12-07 10:26:00
2,,Incident,shannon31,Database,High,Open,2023-09-13 01:23:00,2024-04-11 17:03:00
3,,Incident,michelle63,Desktop Support,Critical,Pending,2023-10-18 19:18:00,2024-09-11 02:32:00
4,,Problem,wcarroll,Database,Medium,Resolved,2023-06-23 00:58:00,2023-12-03 03:17:00
5,,Service Request,kristy11,Cloud Ops,Critical,In Progress,2023-04-02 07:25:00,2024-02-24 11:28:00
6,,Service Request,zroberts,Desktop Support,Medium,Closed,2024-12-21 12:06:00,2024-11-03 10:42:00
7,289.0,Problem,kellermary,Network,Medium,Resolved,2024-07-29 08:37:00,2023-07-15 21:54:00
8,,Service Request,thomaswhite,Security,Critical,Resolved,2024-02-24 12:04:00,2023-09-02 17:34:00
9,,Service Request,wyattamy,Security,Low,Closed,2023-02-04 22:57:00,2023-04-04 22:23:00
10,,Problem,pbarajas,Cloud Ops,Critical,Resolved,2023-05-26 06:36:00,2025-01-30 11:59:00
11,,Incident,vortiz,Cloud Ops,Low,Closed,2024-08-16 09:05:00,
12,,Service Request,kennethboyd,Cloud Ops,Low,Resolved,2023-12-02 21:14:00,2024-12-24 16:31:00
13,,Service Request,qaguirre,Desktop Support,Low,Closed,2023-01-30 07:59:00,2023-08-09 17:35:00
14,35.0,Incident,montoyafelicia,Network,Critical,Pending,2024-05-03 13:14:00,2023-01-19 06:41:00
15,,Service Request,johnsondaniel,Security,Medium,Closed,2024-01-20 11:26:00,2024-04-17 20:06:00
16,,Problem,uhaley,Network,High,Resolved,2023-11-30 15:51:00,2023-07-19 18:26:00
17,,Incident,matthewbrennan,Security,High,Pending,2024-04-06 06:38:00,2024-02-07 08:46:00
18,,Problem,robert40,Security,High,Closed,2024-07-16 20:34:00,2023-09-05 22:42:00
19,182.0,Problem,tabitha03,Database,Critical,Resolved,2023-03-01 05:21:00,2023-04-08 04:37:00
20,,Service Request,taylortina,Cloud Ops,Medium,Pending,2024-05-22 16:57:00,
21,168.0,Problem,bakertommy,Network,High,Open,2023-04-03 09:24:00,
22,,Service Request,robertpeck,Network,Low,Open,2024-08-16 21:03:00,2023-02-06 14:13:00
