payroll_id,employee_id,pay_period,gross_salary,deductions,net_salary,payment_date
1,120,2024-01,16280.96,4837.49,11443.47,2024-01-28
2,120,2024-02,12928.15,3891.97,9036.18,2024-02-28
3,120,2024-03,16612.15,4885.54,11726.61,2024-03-28
4,120,2024-04,7256.61,1664.97,5591.64,2024-04-28
5,120,2024-05,12061.43,3192.57,8868.86,2024-05-28
6,120,2024-06,9374.64,3112.04,6262.6,2024-06-28
7,263,2024-01,16055.92,4555.3,11500.62,2024-01-28
8,263,2024-02,14379.56,3952.3,10427.26,2024-02-28
9,263,2024-03,17352.21,3496.88,13855.33,2024-03-28
10,263,2024-04,16323.94,3894.3,12429.64,2024-04-28
11,263,2024-05,17547.53,4972.21,12575.32,2024-05-28
12,263,2024-06,10292.58,3432.21,6860.37,2024-06-28
13,153,2024-01,15426.07,3972.49,11453.58,2024-01-28
14,153,2024-02,13104.39,3068.03,10036.36,2024-02-28
15,153,2024-03,10318.3,3227.69,7090.61,2024-03-28
16,153,2024-04,4325.81,1054.29,3271.52,2024-04-28
17,153,2024-05,5139.84,1771.05,3368.79,2024-05-28
18,153,2024-06,15907.36,4300.59,11606.77,2024-06-28
19,124,2024-01,13293.42,3819.29,9474.13,2024-01-28
20,124,2024-02,9567.59,2337.51,7230.08,2024-02-28
21,124,2024-03,6268.24,2065.66,4202.58,2024-03-28
22,124,2024-04,8449.92,2156.68,6293.24,2024-04-28
23,124,2024-05,3229.88,917.25,2312.63,2024-05-28
24,124,2024-06,3763.85,834.72,2929.13,2024-06-28
25,24,2024-01,12258.18,2485.59,9772.59,2024-01-28
26,24,2024-02,9397.94,2701.07,6696.87,2024-02-28
27,24,2024-03,7575.15,1737.51,5837.64,2024-03-28
28,24,2024-04,7727.03,2601.62,5125.41,2024-04-28
29,24,2024-05,6814.15,2192.23,4621.92,2024-05-28
30,24,2024-06,13318.91,3849.5,9469.41,2024-06-28
31,241,2024-01,6046.93,1780.08,4266.85,2024-01-28
32,241,2024-02,3570.32,1133.57,2436.75,2024-02-28
33,241,2024-03,3372.07,937.79,2434.28,2024-03-28
34,241,2024-04,5392.3,1340.04,4052.26,2024-04-28
35,241,2024-05,12674.66,2756.28,9918.38,2024-05-28
36,241,2024-06,13646.49,4090.56,9555.93,2024-06-28
37,292,2024-01,9629.29,2143.77,7485.52,2024-01-28
38,292,2024-02,5971.66,1199.73,4771.93,2024-02-28
39,292,2024-03,7434.02,2035.42,5398.6,2024-03-28
40,292,2024-04,14765.28,2981.3,11783.98,2024-04-28
41,292,2024-05,5601.91,1263.06,4338.85,2024-05-28
42,292,2024-06,7845.0,2646.62,5198.38,2024-06-28
43,250,2024-01,12911.13,2737.67,10173.46,2024-01-28
44,250,2024-02,6819.09,1459.26,5359.83,2024-02-28
45,250,2024-03,9318.92,3253.17,6065.75,2024-03-28
46,250,2024-04,11189.84,3761.15,7428.69,2024-04-28
47,250,2024-05,8196.42,2777.9,5418.52,2024-05-28
48,250,2024-06,10376.8,2489.24,7887.56,2024-06-28
49,169,2024-01,3473.7,897.1,2576.6,2024-01-28
50,169,2024-02,17661.98,4722.28,12939.7,2024-02-28
51,169,2024-03,3542.58,1118.41,2424.17,2024-03-28
52,169,2024-04,7022.43,1578.0,5444.43,2024-04-28
53,169,2024-05,4704.17,1073.44,3630.73,2024-05-28
54,169,2024-06,6062.49,1899.2,4163.29,2024-06-28
55,193,2024-01,12164.71,3173.96,8990.75,2024-01-28
56,193,2024-02,12458.77,2684.85,9773.92,2024-02-28
57,193,2024-03,14412.61,4957.01,9455.6,2024-03-28
58,193,2024-04,16339.4,4599.16,11740.24,2024-04-28
59,193,2024-05,15020.29,3957.74,11062.55,2024-05-28
60,193,2024-06,12914.39,3268.53,9645.86,2024-06-28
61,299,2024-01,17283.35,3810.85,13472.5,2024-01-28
62,299,2024-02,3913.6,1276.27,2637.33,2024-02-28
63,299,2024-03,8741.51,2255.04,6486.47,2024-03-28
64,299,2024-04,13812.79,4496.17,9316.62,2024-04-28
65,299,2024-05,17999.57,4615.15,13384.42,2024-05-28
66,299,2024-06,9953.04,3209.75,6743.29,2024-06-28
67,134,2024-01,8736.22,2180.86,6555.36,2024-01-28
68,134,2024-02,3716.06,888.97,2827.09,2024-02-28
69,134,2024-03,8294.87,2585.53,5709.34,2024-03-28
70,134,2024-04,4166.38,1375.07,2791.31,2024-04-28
71,134,2024-05,16285.49,4003.88,12281.61,2024-05-28
72,134,2024-06,14914.42,4835.64,10078.78,2024-06-28
73,91,2024-01,11603.89,3303.83,8300.06,2024-01-28
74,91,2024-02,8342.73,2773.27,5569.46,2024-02-28
75,91,2024-03,16209.45,4649.56,11559.89,2024-03-28
76,91,2024-04,5559.48,1472.09,4087.39,2024-04-28
77,91,2024-05,3124.27,869.0,2255.27,2024-05-28
78,91,2024-06,12429.65,3911.69,8517.96,2024-06-28
79,61,2024-01,4606.03,1085.93,3520.1,2024-01-28
80,61,2024-02,13142.76,2930.43,10212.33,2024-02-28
81,61,2024-03,13252.17,2930.63,10321.54,2024-03-28
82,61,2024-04,6691.72,2280.7,4411.02,2024-04-28
83,61,2024-05,13088.68,4041.13,9047.55,2024-05-28
84,61,2024-06,14418.49,3613.3,10805.19,2024-06-28
85,285,2024-01,11466.29,3216.39,8249.9,2024-01-28
86,285,2024-02,17467.83,5749.8,11718.03,2024-02-28
87,285,2024-03,11441.97,3754.78,7687.19,2024-03-28
88,285,2024-04,3529.85,890.7,2639.15,2024-04-28
89,285,2024-05,10951.25,2527.26,8423.99,2024-05-28
90,285,2024-06,12070.95,4224.2,7846.75,2024-06-28
91,63,2024-01,3640.59,1198.23,2442.36,2024-01-28
92,63,2024-02,5921.43,2046.53,3874.9,2024-02-28
93,63,2024-03,10334.79,3445.97,6888.82,2024-03-28
94,63,2024-04,14009.28,3939.27,10070.01,2024-04-28
95,63,2024-05,15177.83,3552.36,11625.47,2024-05-28
96,63,2024-06,16518.86,4021.13,12497.73,2024-06-28
97,17,2024-01,4569.05,1209.04,3360.01,2024-01-28
98,17,2024-02,10121.35,3226.3,6895.05,2024-02-28
