product_id,product_name,category_id,unit_price,cost_price,stock_quantity,brand,is_active
1,HomeBase Big 28CS,8,599.53,421.73,344,SportMax,1
2,TechPro Form 85DW,2,433.77,441.45,372,HomeBase,1
3,HomeBase Late 76AD,1,403.57,285.99,99,HomeBase,1
4,TechPro Ahead 80XA,7,506.73,382.67,143,FashionHub,0
5,ApexTech Behavior 29TY,2,133.02,50.15,191,FashionHub,0
6,ReadMore Eight 98XI,6,756.18,101.13,260,SportMax,1
7,TechPro Pressure 89SD,1,141.35,167.85,242,ReadMore,1
8,ReadMore Someone 62ZQ,9,144.08,465.81,163,StyleCo,1
9,ReadMore According 78DD,5,595.75,254.64,260,ReadMore,1
10,ReadMore Become 04PG,5,477.51,10.29,169,ApexTech,1
11,SportMax Goal 91SK,5,797.76,363.2,352,ApexTech,1
12,SportMax Meet 50HV,5,967.23,391.88,397,ReadMore,1
13,ApexTech Pattern 80SN,1,585.6,86.91,322,ApexTech,1
14,FashionHub Name 28VF,7,152.04,341.0,16,ReadMore,0
15,TechPro Century 32TO,4,23.84,158.22,77,SportMax,1
16,SportMax Foreign 07NS,9,776.09,460.41,446,FashionHub,1
17,TechPro Deep 11AJ,3,521.08,281.32,339,SportMax,1
18,HomeBase Pm 18GP,3,462.36,267.49,279,HomeBase,1
19,FashionHub Democratic 17BG,5,612.02,97.75,126,HomeBase,1
20,StyleCo Life 60HT,5,772.31,353.03,353,ApexTech,1
21,SportMax Interview 72PI,6,562.68,467.36,369,HomeBase,1
22,ReadMore Ever 97QN,9,382.79,490.11,419,HomeBase,0
23,FashionHub Candidate 62OB,3,294.0,145.24,365,TechPro,1
24,SportMax Crime 23KG,5,748.59,108.56,423,ReadMore,1
25,ReadMore Site 83EE,5,141.59,308.6,300,StyleCo,1
26,ApexTech Figure 41LF,9,229.54,117.95,51,SportMax,1
27,SportMax Hold 46YS,2,682.78,70.46,493,ReadMore,0
28,StyleCo Such 17AB,7,654.62,440.55,243,SportMax,1
29,FashionHub Choose 04DH,5,324.56,323.65,464,FashionHub,1
30,ReadMore Organization 60LT,4,537.47,362.11,479,TechPro,0
31,StyleCo Along 97CW,7,882.82,89.54,470,TechPro,0
32,SportMax Chair 77RA,8,190.38,375.0,446,HomeBase,1
33,TechPro Cold 58GN,5,570.12,55.43,171,HomeBase,1
34,ApexTech Happy 86GE,9,526.69,444.84,68,FashionHub,1
35,HomeBase Contain 25PU,4,809.76,166.68,374,SportMax,1
36,ApexTech Order 57TY,3,19.01,169.88,151,ReadMore,1
37,StyleCo Challenge 44ZE,3,612.89,320.08,207,FashionHub,1
38,HomeBase Whom 76EM,2,403.83,49.5,71,SportMax,1
39,StyleCo Reason 29TG,1,264.48,119.29,385,HomeBase,0
40,HomeBase Stand 84IS,1,265.24,181.05,120,TechPro,1
41,SportMax Game 99WL,5,163.92,343.66,472,ApexTech,1
42,ApexTech Prepare 61CB,2,640.51,470.43,188,ReadMore,1
43,StyleCo Together 23GQ,8,157.42,374.36,310,HomeBase,1
44,ReadMore Born 77UW,8,758.56,401.39,422,StyleCo,1
45,ApexTech Each 31LU,2,527.87,265.02,185,TechPro,0
46,TechPro Wait 66ED,1,829.62,451.63,103,ReadMore,1
47,StyleCo Population 41CV,6,855.21,222.03,348,StyleCo,1
48,SportMax Baby 75MO,2,899.39,223.85,28,SportMax,1
49,SportMax Though 02UG,8,566.09,280.28,344,FashionHub,1
50,TechPro Say 76IO,7,258.18,3.5,111,ReadMore,1
51,SportMax Painting 83MQ,6,701.88,271.49,30,TechPro,0
52,SportMax Military 74OM,1,290.65,91.63,69,FashionHub,1
53,ApexTech Site 26HZ,7,377.58,445.88,229,FashionHub,0
54,SportMax Strategy 31LB,7,84.85,482.13,447,ReadMore,1
55,FashionHub Professional 13CZ,6,123.04,496.43,201,ReadMore,1
56,StyleCo Challenge 05XA,1,757.39,489.28,237,ApexTech,1
57,SportMax Out 81VL,9,382.38,116.37,235,HomeBase,1
58,StyleCo Rest 87MN,2,37.06,330.77,314,FashionHub,0
59,TechPro Own 78WW,4,210.05,52.25,17,SportMax,1
60,ApexTech Present 82ZE,1,248.51,24.03,224,StyleCo,1
61,FashionHub Leg 66EK,1,144.43,496.74,119,FashionHub,0
62,ReadMore Bar 28TG,6,579.58,386.72,419,HomeBase,1
63,StyleCo Buy 73DM,9,224.94,151.65,31,ReadMore,0
64,ApexTech Now 50OS,3,627.86,214.74,253,TechPro,0
65,ApexTech Win 46TW,7,786.87,160.73,213,SportMax,1
66,SportMax Author 24EI,3,755.64,237.81,434,StyleCo,1
67,ApexTech Parent 38NG,3,806.74,457.53,287,SportMax,0
68,ReadMore Forget 69DI,9,138.42,122.94,104,HomeBase,1
69,SportMax Save 19EQ,6,97.0,362.84,97,TechPro,1
70,ApexTech Read 00VA,1,874.24,95.7,389,ReadMore,1
71,ReadMore Every 35WD,4,481.99,434.99,170,HomeBase,0
72,TechPro Chair 38UV,4,937.46,481.11,60,ApexTech,0
73,SportMax Window 03FE,4,697.14,352.47,203,StyleCo,1
74,FashionHub Support 99SW,5,383.75,267.75,183,HomeBase,1
75,ReadMore Surface 05EA,8,468.67,401.79,369,SportMax,1
76,HomeBase Piece 91JE,4,373.85,208.13,288,FashionHub,1
77,StyleCo Your 24UC,1,264.47,467.5,296,ApexTech,1
78,StyleCo Body 07GO,4,333.21,191.16,426,StyleCo,1
79,ApexTech Rate 56ET,6,261.04,411.14,494,ApexTech,1
80,SportMax Station 30DB,8,172.39,397.89,86,StyleCo,1
