target_id,rep_id,period_year,period_quarter,target_amount,achieved_amount
1,1,2022,1,128224.59,41911.08
2,1,2022,2,110838.84,209107.91
3,1,2022,3,207982.15,106711.09
4,1,2022,4,167845.65,164274.8
5,2,2022,1,117584.09,80033.16
6,2,2022,2,78648.18,240578.79
7,2,2022,3,130128.88,186408.58
8,2,2022,4,195926.63,240985.98
9,3,2022,1,189214.8,77555.39
10,3,2022,2,96894.36,245664.11
11,3,2022,3,219003.15,248298.3
12,3,2022,4,126277.88,201064.41
13,4,2022,1,216521.2,78185.38
14,4,2022,2,52572.69,247697.88
15,4,2022,3,61372.88,39051.9
16,4,2022,4,60483.05,226981.3
17,5,2022,1,167728.86,45831.96
18,5,2022,2,138673.46,57349.93
19,5,2022,3,50710.3,255722.98
20,5,2022,4,220721.58,157606.68
21,6,2022,1,58970.98,156414.56
22,6,2022,2,246479.44,85353.83
23,6,2022,3,189804.06,96882.97
24,6,2022,4,117020.58,241387.48
25,7,2022,1,170027.33,73130.53
26,7,2022,2,186588.56,179193.01
27,7,2022,3,96023.03,251630.98
28,7,2022,4,191255.42,182005.73
29,8,2022,1,133431.81,51244.91
30,8,2022,2,204062.89,124537.95
31,8,2022,3,156757.92,184247.33
32,8,2022,4,152368.99,224585.88
33,9,2022,1,78066.11,62905.29
34,9,2022,2,177037.88,154779.07
35,9,2022,3,119758.02,266194.1
36,9,2022,4,202206.45,102743.96
37,10,2022,1,141772.79,197377.82
38,10,2022,2,101286.92,139919.65
39,10,2022,3,50749.18,113395.82
40,10,2022,4,193561.55,47676.03
41,11,2022,1,215641.75,269487.69
42,11,2022,2,57267.17,113724.37
43,11,2022,3,159696.03,80901.83
44,11,2022,4,205950.98,88681.65
45,12,2022,1,222403.59,133836.09
46,12,2022,2,235973.72,175118.47
47,12,2022,3,173746.77,99651.82
48,12,2022,4,77901.63,163847.89
49,13,2022,1,247487.09,209279.05
50,13,2022,2,77986.16,131325.78
51,13,2022,3,96556.1,269687.57
52,13,2022,4,196689.31,115434.78
53,14,2022,1,55756.33,204833.59
54,14,2022,2,131107.21,146597.22
55,14,2022,3,145787.24,238025.75
56,14,2022,4,151817.42,144891.9
57,15,2022,1,223946.6,60063.67
58,15,2022,2,156154.07,224517.93
59,15,2022,3,93348.8,252440.87
60,15,2022,4,136488.44,156231.51
61,16,2022,1,182960.27,115808.41
62,16,2022,2,67556.32,187137.69
63,16,2022,3,225819.57,217756.03
64,16,2022,4,82293.0,251836.42
65,17,2022,1,84379.51,68139.67
66,17,2022,2,135022.84,134395.52
67,17,2022,3,152944.65,195871.17
68,17,2022,4,52238.61,197816.88
69,18,2022,1,88943.25,184459.53
70,18,2022,2,67125.06,124841.64
71,18,2022,3,213404.57,70561.94
72,18,2022,4,160059.39,183797.72
73,19,2022,1,185195.66,201390.17
74,19,2022,2,243491.19,30162.18
75,19,2022,3,108286.79,170095.69
76,19,2022,4,211684.7,165744.14
77,20,2022,1,71234.49,107630.12
78,20,2022,2,174497.38,145265.34
79,20,2022,3,80458.78,107451.86
80,20,2022,4,170652.32,149041.34
81,21,2022,1,109277.16,161770.71
82,21,2022,2,87592.19,163690.49
83,21,2022,3,241918.4,157728.26
84,21,2022,4,113417.56,251826.64
85,22,2022,1,233691.2,255885.69
86,22,2022,2,108181.76,215569.61
87,22,2022,3,71872.09,257333.89
88,22,2022,4,127506.32,145883.03
89,23,2022,1,166542.47,167197.72
90,23,2022,2,240679.48,63378.03
91,23,2022,3,241453.23,237113.34
92,23,2022,4,223480.51,114220.53
93,24,2022,1,68562.51,157890.44
94,24,2022,2,66055.76,57396.18
95,24,2022,3,245399.12,156139.71
96,24,2022,4,57875.56,239528.99
97,25,2022,1,122212.2,40460.85
98,25,2022,2,193679.86,74072.56
99,25,2022,3,103953.94,198961.44
100,25,2022,4,86189.41,257494.6
101,26,2022,1,162235.63,243358.47
102,26,2022,2,119916.15,141133.33
103,26,2022,3,59957.9,85899.49
104,26,2022,4,53332.06,63911.01
105,27,2022,1,89235.39,59637.89
106,27,2022,2,196217.28,65982.12
107,27,2022,3,176724.02,45313.89
108,27,2022,4,151435.16,230547.16
109,28,2022,1,57225.78,96056.89
110,28,2022,2,164324.13,262569.4
111,28,2022,3,130300.03,184350.71
112,28,2022,4,118925.91,268911.26
113,29,2022,1,82410.19,234235.7
114,29,2022,2,131614.86,80596.95
115,29,2022,3,73813.25,164590.43
116,29,2022,4,126888.36,242744.52
117,30,2022,1,52728.02,258534.14
118,30,2022,2,177787.73,34755.11
119,30,2022,3,77220.3,92803.02
120,30,2022,4,84552.22,122374.73
