alert_id,alert_type,source,severity,message,triggered_at,acknowledged_at,status,asset_id
1,Policy Violation,EDR,High,Specific former behind.,2024-08-31 13:06:00,2024-10-09 00:52:00,New,48
2,Data Exfiltration,IDS,High,Especially policy road water.,2024-05-21 22:50:00,2024-10-01 04:35:00,Closed,18
3,Anomalous Login,DLP,Medium,Little power protect type.,2024-10-02 11:19:00,2024-06-26 10:01:00,Closed,14
4,Anomalous Login,DLP,Low,Analysis room some find hair home.,2024-11-26 19:50:00,2024-05-23 16:51:00,New,49
5,Intrusion Detection,WAF,Medium,State yard free pretty.,2024-12-02 19:46:00,2024-05-23 22:16:00,Closed,89
6,Malware,DLP,High,Theory either through until.,2024-02-14 17:08:00,,Closed,77
7,Intrusion Detection,EDR,Low,Sort to animal if baby break.,2024-10-06 23:18:00,2024-09-16 22:58:00,Closed,1
8,Policy Violation,EDR,Low,Party above half most page.,2024-04-11 08:31:00,2024-09-07 19:49:00,Closed,73
9,Data Exfiltration,DLP,High,Hair play cultural appear man sell industry.,2024-09-18 13:09:00,2024-09-22 06:04:00,Closed,5
10,Policy Violation,SIEM,Low,Despite hand group dream have.,2024-08-14 03:17:00,2024-08-13 01:15:00,Closed,80
11,Malware,DLP,Medium,As show news third partner sing father.,2024-11-17 18:46:00,2024-05-04 10:12:00,Acknowledged,18
12,Malware,DLP,Medium,Oil amount them respond major where.,2024-08-26 10:03:00,2025-01-10 23:57:00,Closed,89
13,Policy Violation,IDS,Low,Traditional about perhaps same call.,2024-03-30 22:58:00,2024-07-07 08:36:00,Closed,33
14,Intrusion Detection,DLP,Medium,Home official eye fight lay training ago lawyer.,2024-09-16 23:46:00,2024-04-12 18:04:00,Acknowledged,50
15,Data Exfiltration,WAF,Medium,Administration include stuff get follow organization.,2024-05-11 21:54:00,2024-11-28 08:24:00,Closed,10
16,Data Exfiltration,SIEM,Critical,Plant section population follow value test market smile.,2024-08-11 09:20:00,2025-01-15 15:13:00,Investigating,81
17,Policy Violation,SIEM,Critical,Clearly college consider edge.,2024-04-16 09:45:00,2025-01-06 12:37:00,Investigating,50
18,Anomalous Login,EDR,Medium,Article dream ask.,2024-05-11 11:03:00,,New,58
