deployment_id,project_id,environment,version,deployed_at,deployed_by,status
1,2,Staging,v3.0.13,2023-03-21 08:28:00,carolynnguyen,Success
2,19,Development,v1.1.5,2023-11-23 00:08:00,charleslisa,Success
3,7,Development,v4.0.0,2023-09-18 01:11:00,larryburns,Failed
4,16,Development,v5.9.17,2024-03-01 16:14:00,monteskarl,Success
5,4,Development,v1.8.12,2023-03-23 08:47:00,jeffery29,Success
6,18,Staging,v2.5.1,2024-04-18 19:25:00,smithjohn,Success
7,20,Production,v4.8.8,2023-06-17 01:59:00,dominiquepotts,Success
8,3,Staging,v1.4.8,2023-05-20 08:25:00,noblekimberly,Success
9,16,Development,v4.2.7,2024-12-23 17:58:00,sandrabowman,Success
10,23,Staging,v5.5.5,2024-06-15 22:59:00,bsimpson,Failed
11,24,Production,v5.4.14,2023-11-28 21:30:00,amanda83,Success
12,7,Staging,v5.8.5,2024-08-30 07:01:00,angela58,Success
13,16,Staging,v5.7.19,2024-10-18 17:54:00,george94,Failed
14,13,Staging,v4.0.15,2023-11-16 23:40:00,erinreed,Success
15,12,Production,v2.9.8,2024-11-19 17:06:00,craig18,Success
16,25,Staging,v2.9.1,2023-08-31 10:51:00,tracy91,Success
17,1,Development,v5.5.17,2024-10-09 13:39:00,vjones,Success
18,13,Staging,v1.9.13,2023-08-05 11:19:00,ricedana,Success
19,30,Staging,v1.7.10,2023-03-25 05:05:00,kyle14,Success
20,17,Staging,v2.6.5,2024-11-10 04:24:00,rgibson,Success
21,21,Staging,v1.8.0,2023-05-14 08:22:00,xhall,Success
22,2,Production,v3.9.20,2023-08-28 10:25:00,michaelthomas,Success
23,11,Development,v3.3.15,2024-04-09 23:37:00,urusso,Success
24,27,Staging,v4.5.10,2024-04-14 07:31:00,daniel71,Failed
25,9,Production,v3.2.10,2023-03-19 05:10:00,beverly97,Rolled Back
26,27,Production,v5.4.13,2024-04-13 18:54:00,jordanboone,Success
27,3,Production,v4.5.5,2023-06-11 15:37:00,benjaminhall,Success
28,30,Development,v5.4.18,2024-12-03 13:20:00,walkerdavid,Failed
29,7,Production,v4.7.8,2024-11-25 18:59:00,robertrusso,Success
30,2,Development,v1.3.16,2023-12-14 08:02:00,barkerjohn,Success
31,2,Production,v3.1.10,2024-08-07 22:05:00,ronaldjohnson,Rolled Back
32,10,Development,v4.9.10,2024-04-26 10:14:00,lhunter,Failed
33,18,Staging,v1.3.19,2024-05-08 12:45:00,gomezgrant,Success
34,6,Production,v3.6.2,2023-11-16 04:46:00,sgonzalez,Success
35,6,Development,v3.0.16,2023-12-29 04:01:00,rwhite,Success
36,8,Development,v3.6.2,2023-03-12 16:38:00,edwardsdavid,Success
37,16,Development,v4.2.16,2023-07-03 20:24:00,ricky35,Failed
38,20,Development,v2.8.1,2023-10-21 03:45:00,timothyshaffer,Rolled Back
39,3,Staging,v1.6.1,2023-09-09 06:53:00,garciaanne,Success
40,22,Development,v1.8.11,2023-10-26 09:05:00,kellygina,Success
41,10,Development,v4.6.1,2024-11-11 05:43:00,kellybooth,Success
42,20,Development,v1.3.15,2024-07-20 17:03:00,emiller,Success
43,22,Development,v1.9.7,2024-03-01 15:46:00,knewton,Rolled Back
44,30,Staging,v4.7.14,2024-04-10 07:54:00,echapman,Success
45,25,Staging,v4.4.11,2023-12-23 09:21:00,jeffrey62,Success
46,2,Development,v3.8.3,2024-09-20 10:51:00,pamela64,Failed
47,9,Development,v3.1.3,2023-02-21 04:24:00,brian99,Success
48,19,Staging,v3.3.7,2023-02-20 17:39:00,norrisdaniel,Success
49,5,Development,v2.3.20,2023-03-26 06:23:00,timothy90,Success
50,3,Staging,v5.5.10,2023-01-30 14:01:00,marissasutton,Success
51,9,Development,v4.2.13,2023-01-15 12:28:00,frank18,Success
52,4,Staging,v1.4.9,2024-06-03 15:27:00,salvarado,Success
53,30,Staging,v3.8.7,2023-09-19 21:08:00,george46,Success
54,29,Production,v4.3.1,2023-06-28 18:18:00,jill88,Success
55,19,Staging,v4.2.11,2023-06-21 21:02:00,christine97,Success
56,24,Staging,v5.9.6,2024-04-09 14:49:00,samuel85,Success
57,12,Production,v2.8.8,2024-06-27 17:38:00,tmurphy,Failed
58,19,Production,v5.4.19,2024-01-02 02:24:00,karen28,Success
59,11,Production,v5.1.18,2023-10-10 10:53:00,kirbybrett,Failed
60,22,Staging,v3.6.8,2023-11-26 04:15:00,charlesmcgee,Failed
61,1,Development,v3.1.11,2023-06-23 09:55:00,msimon,Success
62,29,Production,v5.6.15,2024-07-05 11:21:00,wilkinskevin,Success
63,29,Development,v1.8.18,2024-04-26 15:38:00,daniellesolomon,Success
64,25,Development,v1.4.12,2024-04-07 01:47:00,droach,Rolled Back
65,22,Development,v4.7.4,2024-10-19 10:57:00,howekaren,Success
66,5,Production,v1.0.9,2024-11-13 02:29:00,ruth45,Success
67,23,Development,v4.3.8,2024-12-18 13:02:00,tylerlaura,Success
68,4,Staging,v1.3.9,2023-01-13 23:31:00,ronaldhodges,Success
69,5,Production,v1.6.8,2023-12-25 15:20:00,alexandramyers,Failed
70,16,Staging,v3.2.16,2024-12-29 21:55:00,millerjessica,Success
71,5,Production,v4.7.16,2023-12-13 02:22:00,clarkwesley,Success
72,14,Staging,v5.8.2,2023-12-22 11:47:00,hsweeney,Success
73,23,Staging,v3.6.13,2023-03-24 13:26:00,lanechelsea,Success
74,19,Staging,v1.9.7,2024-03-06 23:15:00,fflowers,Success
75,14,Production,v1.5.18,2024-01-15 10:07:00,sierra59,Success
76,4,Development,v2.3.18,2023-12-09 13:12:00,clayandrew,Success
77,9,Staging,v1.8.4,2024-01-18 12:38:00,marthagriffin,Success
78,19,Development,v1.2.20,2024-12-27 13:57:00,wooddylan,Success
79,28,Production,v3.8.12,2024-08-16 15:35:00,lmiddleton,Success
80,16,Production,v5.9.13,2023-07-22 02:36:00,jeffreymccormick,Success
81,8,Development,v3.2.15,2024-10-04 01:16:00,burtondiane,Success
82,13,Production,v2.2.11,2024-07-30 23:05:00,webstersteven,Success
83,5,Development,v1.1.4,2024-05-09 09:25:00,mackelizabeth,Success
84,23,Development,v1.7.12,2023-07-28 03:48:00,davidfoster,Success
85,19,Production,v4.3.14,2024-11-29 20:01:00,martinezjohn,Failed
86,12,Production,v3.3.12,2023-01-05 13:50:00,smithsusan,Success
87,7,Development,v4.3.11,2024-03-03 15:13:00,melissarollins,Success
88,12,Staging,v4.5.12,2024-09-27 23:18:00,dennis55,Success
89,20,Production,v3.1.0,2023-11-02 00:53:00,sanchezronald,Rolled Back
90,2,Development,v2.7.6,2023-01-19 06:48:00,vaughnmark,Success
91,25,Production,v2.7.9,2024-12-12 12:13:00,foleyjennifer,Success
92,11,Development,v2.5.13,2023-03-24 03:35:00,campbellbruce,Success
93,25,Development,v1.3.17,2023-01-04 21:53:00,kevinespinoza,Success
94,27,Production,v5.5.16,2024-11-13 13:08:00,richardbullock,Success
95,18,Staging,v2.1.3,2023-04-07 20:59:00,wharris,Success
96,25,Development,v4.7.19,2023-01-31 06:40:00,ctaylor,Success
97,13,Staging,v2.6.20,2024-09-23 09:30:00,robinsonmichael,Success
98,3,Production,v2.2.13,2023-12-01 18:32:00,ncarroll,Success
99,1,Development,v2.7.19,2023-02-20 22:11:00,john90,Success
100,20,Staging,v1.3.15,2024-01-05 06:22:00,simsamy,Success
