benefit_id,employee_id,benefit_type,plan_name,enrollment_date,employer_contribution,employee_contribution
1,38,Health,Blue Cross PPO,2023-09-15,335.8,205.94
2,3,Health,Prudential Life,2019-07-28,189.39,296.44
3,184,Dental,Aetna HMO,2019-11-15,121.26,175.93
4,295,Vision,MetLife Vision,2018-07-21,364.57,158.5
5,150,Retirement,MetLife Vision,2018-10-18,524.65,34.96
6,8,Health,Fidelity 401k,2023-04-10,531.67,54.41
7,239,Vision,Prudential Life,2019-02-13,484.48,271.37
8,99,Life Insurance,Blue Cross PPO,2022-05-26,309.36,17.49
9,207,Life Insurance,Prudential Life,2023-08-21,282.53,215.09
10,20,Dental,MetLife Vision,2020-03-17,160.56,5.97
11,179,Health,Aetna HMO,2021-06-04,549.85,102.08
12,202,Dental,Aetna HMO,2023-03-12,492.3,285.37
13,179,Dental,Fidelity 401k,2018-12-27,430.52,283.12
14,132,Vision,MetLife Vision,2021-05-12,290.8,124.7
15,240,Retirement,Fidelity 401k,2022-08-14,407.01,281.38
16,143,Dental,Prudential Life,2021-06-03,104.18,1.51
17,7,Health,Aetna HMO,2022-12-22,231.55,134.2
18,139,Retirement,Blue Cross PPO,2018-03-12,478.96,72.08
19,92,Dental,Aetna HMO,2019-08-27,262.56,217.06
20,278,Dental,Aetna HMO,2023-05-24,313.75,231.18
21,85,Dental,Aetna HMO,2020-08-21,234.29,13.32
22,176,Vision,Blue Cross PPO,2023-04-13,346.91,110.72
23,276,Retirement,MetLife Vision,2018-11-18,121.15,195.45
24,19,Health,Fidelity 401k,2018-12-20,526.23,36.77
25,196,Dental,Fidelity 401k,2023-08-09,404.2,71.62
26,111,Dental,Fidelity 401k,2023-09-13,432.36,25.57
27,29,Dental,MetLife Vision,2022-05-12,581.89,268.61
28,45,Vision,Fidelity 401k,2021-12-08,438.04,14.35
29,10,Life Insurance,MetLife Vision,2022-02-26,349.14,101.54
30,169,Health,Aetna HMO,2019-03-26,354.48,228.7
31,283,Dental,Aetna HMO,2023-07-05,127.11,222.6
32,144,Vision,Fidelity 401k,2022-05-09,368.0,191.46
33,9,Health,Aetna HMO,2024-01-28,143.82,151.97
34,153,Health,Prudential Life,2021-06-18,188.48,67.73
35,207,Vision,Fidelity 401k,2023-02-01,122.97,140.98
36,230,Dental,Aetna HMO,2023-06-19,430.55,20.03
37,217,Vision,Aetna HMO,2022-07-04,122.11,88.36
38,290,Retirement,Blue Cross PPO,2020-01-24,336.49,69.89
39,20,Life Insurance,Aetna HMO,2022-05-09,182.51,194.41
40,240,Vision,MetLife Vision,2018-01-02,317.14,6.61
41,60,Life Insurance,MetLife Vision,2022-05-10,105.34,290.89
42,197,Retirement,Blue Cross PPO,2018-12-14,509.93,257.93
43,96,Life Insurance,Prudential Life,2019-06-16,531.77,211.84
44,247,Vision,Prudential Life,2022-10-31,252.11,108.31
45,122,Health,Prudential Life,2023-07-13,260.89,296.59
46,194,Dental,Blue Cross PPO,2020-12-08,389.13,294.58
47,69,Life Insurance,Prudential Life,2022-07-30,594.25,28.33
48,207,Health,MetLife Vision,2021-08-02,423.39,163.64
49,112,Vision,Fidelity 401k,2021-01-30,499.29,287.82
50,144,Dental,Aetna HMO,2018-04-28,308.02,248.2
51,291,Life Insurance,Aetna HMO,2021-10-17,486.88,158.61
52,124,Health,Blue Cross PPO,2020-03-22,499.88,104.91
53,31,Life Insurance,MetLife Vision,2022-02-17,302.86,295.75
54,126,Vision,Fidelity 401k,2019-02-01,459.52,258.68
55,260,Life Insurance,Fidelity 401k,2020-08-10,245.13,167.26
56,280,Dental,Blue Cross PPO,2020-02-03,320.33,296.56
57,232,Retirement,Prudential Life,2020-05-08,244.28,149.01
58,97,Dental,Prudential Life,2018-11-20,569.43,26.68
59,243,Health,MetLife Vision,2023-01-26,432.73,35.76
60,116,Vision,Blue Cross PPO,2019-12-16,126.63,274.92
61,113,Retirement,Blue Cross PPO,2023-08-03,255.45,136.5
62,134,Health,MetLife Vision,2018-09-29,350.99,191.65
63,3,Health,Blue Cross PPO,2018-04-26,475.83,262.94
64,47,Dental,Aetna HMO,2018-08-30,516.76,206.17
65,87,Health,Fidelity 401k,2024-02-21,394.38,76.58
66,5,Health,Blue Cross PPO,2020-10-09,517.33,231.24
67,293,Dental,Blue Cross PPO,2021-12-26,430.25,167.57
68,40,Life Insurance,Aetna HMO,2023-03-25,483.93,281.71
69,137,Vision,Aetna HMO,2023-01-11,455.34,285.17
70,166,Retirement,Blue Cross PPO,2023-10-22,465.72,222.49
71,159,Retirement,Prudential Life,2024-06-06,544.74,111.99
72,280,Dental,Aetna HMO,2022-06-15,572.01,186.31
73,227,Vision,MetLife Vision,2018-07-02,565.24,188.86
74,54,Vision,Prudential Life,2023-03-05,471.07,206.29
75,95,Life Insurance,Blue Cross PPO,2023-09-24,494.18,66.83
76,268,Dental,MetLife Vision,2021-11-24,311.03,169.97
77,274,Life Insurance,MetLife Vision,2024-02-04,543.46,40.68
78,207,Retirement,Prudential Life,2019-04-30,292.52,253.75
79,291,Dental,MetLife Vision,2023-01-30,437.03,202.52
80,258,Retirement,MetLife Vision,2021-12-25,327.98,271.54
81,152,Life Insurance,MetLife Vision,2022-03-01,519.94,134.98
82,164,Life Insurance,MetLife Vision,2023-07-02,316.84,64.18
83,260,Health,Blue Cross PPO,2023-03-09,259.05,219.71
84,211,Life Insurance,Aetna HMO,2020-02-27,427.83,74.46
85,244,Dental,Aetna HMO,2024-05-07,219.4,140.29
86,145,Health,Aetna HMO,2022-11-13,349.38,150.03
87,173,Retirement,Blue Cross PPO,2023-01-04,222.94,245.72
88,189,Vision,MetLife Vision,2018-01-13,471.94,226.58
89,80,Health,MetLife Vision,2020-05-10,167.65,74.56
90,2,Vision,Prudential Life,2022-12-03,440.22,175.14
91,261,Life Insurance,Blue Cross PPO,2019-11-05,591.59,232.72
92,81,Life Insurance,Fidelity 401k,2021-09-28,488.61,261.19
93,256,Retirement,Prudential Life,2020-06-11,127.58,156.79
94,111,Retirement,Blue Cross PPO,2022-12-02,399.23,174.63
95,36,Life Insurance,Blue Cross PPO,2022-09-06,163.7,205.5
96,43,Vision,Fidelity 401k,2020-07-09,486.46,88.08
97,41,Life Insurance,MetLife Vision,2021-06-24,546.46,136.24
98,280,Vision,Prudential Life,2022-06-15,344.0,33.54
99,226,Dental,Fidelity 401k,2023-12-05,415.62,248.62
100,194,Dental,Fidelity 401k,2020-04-07,311.25,249.11
101,25,Life Insurance,Fidelity 401k,2019-03-04,308.78,42.38
102,201,Retirement,Aetna HMO,2020-12-25,105.42,182.06
103,84,Life Insurance,MetLife Vision,2018-08-21,141.69,214.0
104,74,Health,Fidelity 401k,2022-06-19,311.92,18.56
105,40,Life Insurance,MetLife Vision,2019-05-02,332.38,2.18
106,171,Life Insurance,Prudential Life,2019-10-13,458.21,13.52
107,41,Life Insurance,Prudential Life,2024-03-04,566.87,293.19
108,77,Dental,Blue Cross PPO,2020-09-19,152.32,166.58
109,204,Health,Fidelity 401k,2018-05-24,195.4,93.73
110,56,Health,MetLife Vision,2020-09-01,247.68,281.48
111,248,Vision,Blue Cross PPO,2021-02-16,303.85,283.18
112,187,Vision,Fidelity 401k,2018-12-18,503.28,54.99
113,127,Dental,Fidelity 401k,2022-01-31,393.5,124.51
114,155,Life Insurance,Blue Cross PPO,2021-11-30,427.94,121.85
115,13,Dental,MetLife Vision,2020-03-29,216.35,123.62
116,158,Life Insurance,MetLife Vision,2021-09-25,109.54,133.94
117,151,Vision,Aetna HMO,2021-08-26,189.68,241.05
118,1,Health,Prudential Life,2018-12-25,306.61,69.3
119,133,Retirement,Blue Cross PPO,2022-05-29,425.64,184.0
120,246,Retirement,Prudential Life,2019-02-10,511.13,62.39
121,34,Vision,Fidelity 401k,2019-09-06,237.02,256.89
122,281,Retirement,Fidelity 401k,2018-09-23,442.54,94.9
123,178,Health,Prudential Life,2018-03-12,434.33,58.9
124,180,Health,Prudential Life,2021-02-09,119.64,266.17
125,107,Life Insurance,Aetna HMO,2020-11-20,418.49,121.21
126,51,Dental,Aetna HMO,2023-02-10,142.9,10.36
127,299,Health,Aetna HMO,2022-10-25,482.96,297.95
128,144,Dental,Prudential Life,2020-12-22,478.17,213.4
129,288,Health,Prudential Life,2019-10-11,423.56,108.71
130,49,Retirement,Aetna HMO,2020-09-06,383.27,220.36
131,78,Dental,MetLife Vision,2019-06-05,258.92,299.02
132,69,Life Insurance,MetLife Vision,2022-01-19,344.8,235.61
133,57,Life Insurance,Aetna HMO,2021-04-15,589.3,222.98
134,72,Life Insurance,Aetna HMO,2018-01-11,541.9,128.28
135,123,Life Insurance,Blue Cross PPO,2023-09-30,205.92,277.09
136,88,Vision,Fidelity 401k,2019-04-20,307.22,171.16
137,253,Retirement,MetLife Vision,2019-05-17,440.99,171.93
138,5,Retirement,Prudential Life,2018-12-16,147.44,42.19
139,77,Dental,Aetna HMO,2021-08-29,382.5,74.67
140,108,Vision,Aetna HMO,2018-12-04,552.88,74.17
141,222,Dental,Prudential Life,2023-03-01,459.77,215.51
142,182,Health,Fidelity 401k,2018-04-25,387.26,31.06
143,229,Retirement,Blue Cross PPO,2022-10-24,375.31,159.56
144,276,Dental,Blue Cross PPO,2024-01-06,425.26,87.07
145,198,Life Insurance,Aetna HMO,2019-02-01,300.09,112.62
146,250,Health,Aetna HMO,2023-11-13,315.67,192.77
147,225,Dental,Aetna HMO,2019-10-28,208.85,41.72
148,71,Vision,Aetna HMO,2022-11-08,199.98,295.48
149,285,Dental,MetLife Vision,2023-09-30,473.06,47.57
150,129,Health,Fidelity 401k,2021-11-03,599.6,280.16
151,249,Life Insurance,Fidelity 401k,2023-05-08,273.59,2.23
152,133,Retirement,Fidelity 401k,2019-01-05,321.39,93.66
153,140,Vision,Blue Cross PPO,2018-01-15,272.09,175.87
154,18,Retirement,Fidelity 401k,2020-01-18,477.83,65.08
155,297,Dental,Aetna HMO,2021-01-03,249.45,80.59
156,276,Dental,Fidelity 401k,2022-03-13,159.35,285.16
157,189,Vision,Blue Cross PPO,2024-03-03,426.05,181.1
158,248,Vision,Fidelity 401k,2023-07-17,168.15,163.12
159,62,Vision,MetLife Vision,2018-04-24,555.81,127.06
160,178,Health,Blue Cross PPO,2022-10-23,569.43,56.16
161,154,Dental,MetLife Vision,2022-12-22,594.44,77.71
162,147,Life Insurance,MetLife Vision,2019-11-07,240.88,75.1
163,67,Retirement,Blue Cross PPO,2021-11-28,185.95,155.65
164,122,Health,Fidelity 401k,2022-10-07,374.77,218.44
165,287,Health,Prudential Life,2019-12-21,110.67,142.18
166,258,Health,Prudential Life,2023-08-17,357.21,54.73
167,19,Life Insurance,Aetna HMO,2021-12-30,188.47,34.51
168,141,Dental,Aetna HMO,2021-11-16,439.37,147.33
169,42,Dental,Blue Cross PPO,2019-10-05,344.95,233.56
170,67,Life Insurance,Prudential Life,2018-02-16,183.76,26.07
171,8,Dental,Aetna HMO,2023-05-17,398.84,277.35
