asset_id,asset_name,asset_type,serial_number,purchase_date,purchase_cost,assigned_to,location,status
1,Apple Close,Software,PM362-YA292-XU587,2019-07-09,4221.77,jeremy47,Remote,Active
2,Dell World,Desktop,BK452-zW455-Aa574,2019-08-25,1958.51,abrown,In Storage,Active
3,Apple Health,Server,bu274-BY033-yu445,2020-03-21,2390.45,laurenwilliamson,HQ Floor 2,Active
4,Cisco Less,Server,cX411-Qy325-ST797,2022-04-09,4363.93,mwright,HQ Floor 2,Active
5,HP Peace,Desktop,sh601-Ei054-Ve857,2020-01-17,1299.74,tiffany62,In Storage,Active
6,Apple Tv,Laptop,uK294-IW938-Qq173,2023-12-07,2307.07,hannah21,Data Center,Active
7,Dell Truth,Server,xv557-mR325-Tq737,2023-02-07,4720.64,cassandra02,In Storage,Active
8,Cisco Call,Software,bK666-Bc708-GZ085,2021-08-06,1686.34,kristy74,Remote,Active
9,Cisco Paper,Server,ZG511-fK918-DN182,2019-01-14,2403.4,karenwang,HQ Floor 2,Active
10,Cisco Lawyer,Server,DH477-XS251-VB295,2021-04-03,260.1,moraleskelly,Remote,Active
11,HP Price,Desktop,LR600-Xu356-ID243,2023-10-17,4963.86,kaylaandrews,HQ Floor 2,Active
12,HP Hear,Software,IM923-cX234-iI210,2019-09-18,780.43,stephanie55,HQ Floor 2,Retired
13,Apple Without,Network Device,Xw333-bi426-Ch433,2023-11-07,4800.26,vjohnson,HQ Floor 2,Active
14,Lenovo Too,Network Device,Lh360-fl776-GL336,2019-10-01,2247.98,martinjason,HQ Floor 2,Active
15,HP Yeah,Laptop,xE795-qG563-hD318,2020-09-05,3665.23,smithlinda,Data Center,Active
16,Cisco Instead,Software,PP155-Zy416-Eb431,2019-12-07,3378.84,jessica50,HQ Floor 1,Retired
17,Cisco Chance,Network Device,Wc329-dM028-Zn227,2019-03-08,4459.73,nathan62,In Storage,Active
18,HP Kind,Laptop,Fn228-tz225-Ox120,2020-01-08,1171.45,christy00,Data Center,Active
19,Lenovo Glass,Software,UH070-kk260-ga869,2023-07-20,3689.62,phyllis16,In Storage,Retired
20,Apple Attorney,Laptop,tE177-Eq687-iu290,2019-08-19,4839.62,summer17,Data Center,In Storage
21,Cisco Mind,Server,Vg932-Tz382-sN231,2019-07-20,939.3,wrightjohn,Data Center,Active
22,Dell Show,Network Device,uB457-xQ988-jL942,2023-03-15,1328.19,adkinslauren,In Storage,Active
23,Cisco Project,Laptop,ua032-KE020-Ew326,2020-09-20,2883.73,courtneymontoya,HQ Floor 2,In Repair
24,Lenovo Participant,Software,Vr673-PX794-Gv871,2019-07-14,599.18,wendy24,Remote,Active
25,Apple Growth,Server,BP787-bI158-ig415,2021-01-10,3742.94,theresagreer,In Storage,In Repair
26,Lenovo Camera,Software,Gl842-zG547-mj681,2020-06-12,1001.22,kimberlygonzalez,In Storage,Active
27,Apple Size,Desktop,xI589-oS298-Hk808,2019-08-02,1201.15,erik29,Remote,Active
28,Cisco Draw,Server,yH289-AE634-Du064,2022-03-26,2583.41,jenniferevans,Remote,Active
29,Cisco Bad,Software,ij484-Ek399-WZ106,2021-10-05,2485.96,petermoore,Data Center,Active
30,Lenovo Kind,Software,zh693-UV351-LR342,2021-05-20,545.13,jamiethomas,Data Center,Active
31,Lenovo Fact,Software,oQ501-Ct848-hI197,2019-05-30,3007.16,whernandez,HQ Floor 2,In Repair
32,Apple Whether,Laptop,kT540-SY641-FW769,2022-01-26,3331.31,jeffrey11,Data Center,Active
33,Cisco Sign,Desktop,Xr995-UU376-rq601,2020-01-29,1162.32,robert45,In Storage,Active
34,Cisco Because,Network Device,Qr017-gX397-TF396,2019-08-24,1943.93,qobrien,HQ Floor 1,Active
35,Dell Idea,Laptop,xL091-RT919-MA113,2020-04-03,3126.99,chiggins,Data Center,Active
36,Dell Hand,Server,Kl779-bO806-vg603,2020-08-02,1080.46,samantha07,HQ Floor 2,Active
37,Lenovo Time,Network Device,DS455-Oq534-XY705,2022-06-20,950.16,jasontownsend,HQ Floor 1,Active
38,Apple Officer,Software,IV565-Zo271-ut559,2019-01-27,617.75,sloanchristopher,In Storage,In Storage
39,Dell Into,Network Device,vZ597-Cx263-Wk475,2023-05-11,4132.51,marcusrodriguez,Data Center,In Repair
40,Apple Party,Laptop,Se488-mf488-fT269,2020-09-30,4228.38,jphelps,In Storage,Active
41,Dell Sense,Server,Kf585-uo626-Cc149,2021-09-12,1276.02,amycontreras,HQ Floor 1,Active
42,Apple Eye,Software,as073-pb333-NE732,2021-02-19,2416.59,jperry,HQ Floor 2,Active
43,HP Out,Laptop,TY362-xZ896-Zq964,2022-04-11,3442.81,pwood,HQ Floor 1,Active
44,HP Front,Desktop,gY851-GT253-EI892,2021-07-27,1069.78,daniel93,Data Center,Active
45,HP Service,Laptop,CF583-LB749-ek079,2021-01-15,2642.8,castroangelica,Remote,Active
46,Cisco Art,Desktop,Ub572-TM151-FB494,2020-06-30,4573.62,valerielewis,In Storage,In Storage
47,Dell Live,Server,XI484-RL539-ua862,2021-01-11,4592.03,josephmichael,Remote,Active
48,HP Call,Network Device,XW191-ll862-bP339,2021-08-14,234.14,vchandler,HQ Floor 1,Active
49,Lenovo Behind,Software,lg169-tw666-lT725,2019-07-16,4200.98,fkoch,Remote,Active
50,HP Believe,Desktop,Wg246-Hq335-bM157,2023-02-04,4216.13,hendrixbrian,Remote,Active
51,Apple Hour,Network Device,bZ120-KK800-xe564,2021-11-06,1833.59,jacoboliver,In Storage,Active
52,Apple Court,Software,CT835-Xl129-Gj592,2021-05-10,3820.76,cjohnson,HQ Floor 1,Retired
53,Apple Worry,Server,kg814-Fm415-Mj298,2022-10-11,3103.76,sharon86,HQ Floor 2,Retired
54,Apple Step,Network Device,Fm718-Yz153-cw523,2021-09-07,4337.56,rangelsamantha,In Storage,Active
