posting_id,position_id,department_id,posted_date,closing_date,status,applicant_count
1,19,2,2023-12-20,2025-05-16,Open,12
2,21,4,2024-12-30,2025-05-18,Filled,87
3,17,2,2023-10-02,2024-11-15,On Hold,37
4,19,9,2024-12-28,2024-07-23,Closed,124
5,14,2,2024-10-01,2024-01-22,Closed,11
6,11,7,2023-03-22,2024-04-11,Filled,93
7,25,6,2024-01-08,2024-04-09,Open,81
8,26,10,2024-10-02,2024-05-05,On Hold,107
9,26,10,2024-01-26,2024-04-16,Open,147
10,17,10,2023-01-29,2024-03-06,Closed,192
11,17,8,2023-05-10,2025-04-12,Filled,25
12,24,3,2024-02-29,2025-06-03,Open,34
13,12,7,2023-06-22,2024-09-24,Open,104
14,2,6,2024-10-16,2024-03-11,Filled,108
15,20,8,2024-03-03,2024-01-11,Closed,68
16,11,3,2024-02-20,2024-05-08,Filled,22
17,20,5,2024-12-28,2025-04-03,Open,192
18,1,3,2024-11-13,2024-09-10,Open,185
19,4,1,2024-12-14,2025-04-30,Filled,37
20,11,8,2024-01-10,2024-05-23,Open,51
21,8,1,2023-07-27,2024-11-02,Closed,149
22,25,1,2023-11-29,2025-02-23,Filled,57
23,29,2,2024-03-29,2024-05-20,Filled,25
24,24,1,2024-10-23,2024-10-13,Filled,106
25,7,2,2023-03-14,2025-06-21,Filled,200
26,29,8,2023-01-17,2024-03-09,On Hold,131
27,18,4,2023-12-25,2024-01-21,Filled,82
28,30,5,2024-01-06,2024-07-13,Open,32
29,8,2,2023-06-02,2025-01-02,Open,118
30,1,10,2024-08-17,2025-05-26,Open,31
31,8,6,2024-10-28,2024-01-22,Filled,76
32,23,1,2024-04-05,2025-02-25,Open,128
33,4,9,2024-11-29,2025-01-28,Filled,166
34,19,5,2023-07-16,2025-02-22,Closed,33
35,7,2,2023-10-30,2024-12-07,Filled,64
36,25,10,2023-10-16,2024-01-09,Filled,39
37,25,1,2024-03-27,2025-06-28,Filled,191
38,29,6,2024-11-13,2025-06-14,Open,142
39,10,1,2023-07-01,2024-05-15,Open,189
40,16,7,2024-12-03,2024-01-06,Open,146
41,2,7,2024-03-20,2025-05-11,Open,50
42,15,10,2023-07-16,2024-10-17,Open,74
43,12,2,2024-12-30,2024-02-09,Closed,130
44,10,3,2023-03-08,2024-01-08,Filled,147
45,7,1,2024-03-01,2024-08-01,Filled,80
46,7,8,2023-04-16,2024-01-20,Filled,137
47,9,3,2023-12-06,2025-03-31,Filled,93
48,9,3,2023-08-23,2025-04-16,Filled,91
49,7,5,2024-08-02,2025-04-12,Open,84
50,17,7,2024-06-16,2025-06-05,Filled,171
