leave_id,employee_id,leave_type,start_date,end_date,days_count,status,approved_by
1,34,Paternity,2024-01-24,2024-01-29,5,Approved,11
2,66,Annual,2024-12-17,2024-12-27,10,Pending,27
3,155,Unpaid,2024-01-13,2024-01-23,10,Approved,26
4,292,Annual,2024-02-12,2024-02-13,1,Pending,3
5,267,Annual,2024-03-06,2024-03-20,14,Approved,3
6,111,Paternity,2023-12-15,2023-12-30,15,Approved,13
7,154,Maternity,2023-10-26,2023-10-30,4,Approved,7
8,253,Sick,2024-11-01,2024-11-06,5,Approved,1
9,18,Annual,2024-08-20,2024-08-27,7,Approved,11
10,15,Maternity,2023-07-26,2023-08-08,13,Approved,26
11,89,Maternity,2023-12-19,2023-12-26,7,Approved,18
12,288,Unpaid,2024-07-13,2024-07-25,12,Approved,26
13,254,Annual,2023-11-04,2023-11-14,10,Approved,9
14,170,Maternity,2024-07-18,2024-08-02,15,Approved,4
15,292,Sick,2024-11-30,2024-12-07,7,Approved,10
16,171,Paternity,2023-02-02,2023-02-16,14,Approved,22
17,42,Unpaid,2023-10-24,2023-10-26,2,Approved,7
18,1,Sick,2024-08-03,2024-08-05,2,Approved,25
19,203,Paternity,2024-08-16,2024-08-18,2,Approved,22
20,185,Sick,2023-01-28,2023-02-07,10,Approved,17
21,259,Paternity,2023-12-07,2023-12-18,11,Approved,23
22,97,Unpaid,2023-02-13,2023-02-18,5,Approved,19
23,264,Unpaid,2023-01-15,2023-01-16,1,Approved,5
24,277,Maternity,2023-12-01,2023-12-14,13,Approved,26
25,279,Annual,2023-07-24,2023-08-03,10,Approved,1
26,242,Sick,2023-08-08,2023-08-16,8,Approved,5
27,283,Unpaid,2023-02-22,2023-02-28,6,Approved,21
28,266,Maternity,2024-12-05,2024-12-10,5,Approved,2
29,267,Paternity,2024-04-12,2024-04-17,5,Pending,3
30,12,Unpaid,2023-07-13,2023-07-18,5,Approved,21
31,141,Annual,2023-05-01,2023-05-16,15,Approved,24
32,52,Sick,2023-03-15,2023-03-24,9,Approved,23
33,254,Annual,2024-01-31,2024-02-02,2,Approved,9
34,184,Maternity,2024-06-11,2024-06-25,14,Approved,4
35,99,Maternity,2023-05-19,2023-05-30,11,Approved,4
36,299,Maternity,2023-01-09,2023-01-23,14,Approved,6
37,128,Unpaid,2023-11-22,2023-11-28,6,Approved,11
38,41,Maternity,2024-01-05,2024-01-12,7,Approved,30
39,289,Unpaid,2023-06-09,2023-06-20,11,Approved,3
40,98,Sick,2023-03-01,2023-03-11,10,Approved,5
41,56,Paternity,2024-08-25,2024-08-30,5,Pending,4
42,158,Unpaid,2023-04-24,2023-04-26,2,Rejected,6
43,20,Unpaid,2023-09-14,2023-09-27,13,Approved,11
44,211,Annual,2023-05-19,2023-06-03,15,Approved,13
45,289,Maternity,2024-02-27,2024-03-10,12,Approved,30
46,31,Annual,2024-12-20,2025-01-03,14,Approved,6
47,113,Annual,2024-12-27,2024-12-31,4,Approved,15
48,196,Maternity,2024-08-16,2024-08-30,14,Rejected,21
49,238,Sick,2024-02-04,2024-02-15,11,Approved,18
50,99,Paternity,2024-10-24,2024-11-06,13,Approved,4
51,158,Maternity,2023-10-28,2023-11-01,4,Approved,6
52,259,Annual,2023-06-29,2023-07-12,13,Approved,9
53,29,Maternity,2024-11-09,2024-11-19,10,Rejected,17
54,293,Annual,2024-11-21,2024-12-05,14,Approved,20
55,139,Sick,2024-01-12,2024-01-13,1,Approved,3
56,119,Paternity,2024-03-22,2024-03-31,9,Approved,15
57,44,Annual,2024-05-18,2024-05-21,3,Approved,16
58,147,Annual,2023-07-09,2023-07-17,8,Rejected,27
59,41,Maternity,2024-01-17,2024-01-27,10,Approved,29
60,44,Maternity,2024-08-09,2024-08-18,9,Approved,3
61,183,Maternity,2024-07-19,2024-07-24,5,Approved,14
62,163,Sick,2023-09-20,2023-09-24,4,Approved,16
63,283,Maternity,2023-07-23,2023-07-26,3,Approved,25
64,88,Unpaid,2024-06-21,2024-06-29,8,Approved,22
65,80,Unpaid,2023-06-15,2023-06-16,1,Approved,30
66,197,Maternity,2024-04-14,2024-04-17,3,Approved,21
67,135,Sick,2024-10-25,2024-10-29,4,Approved,21
68,252,Unpaid,2023-12-10,2023-12-24,14,Approved,8
69,186,Paternity,2023-04-20,2023-04-25,5,Approved,12
70,112,Annual,2023-08-21,2023-08-22,1,Pending,9
71,9,Annual,2023-03-08,2023-03-12,4,Approved,7
72,218,Maternity,2023-03-09,2023-03-14,5,Pending,6
73,128,Paternity,2023-03-27,2023-04-01,5,Approved,17
74,15,Maternity,2024-11-25,2024-12-09,14,Approved,30
75,69,Paternity,2024-09-23,2024-09-26,3,Rejected,1
76,219,Annual,2024-11-07,2024-11-10,3,Approved,19
77,243,Unpaid,2024-04-22,2024-04-29,7,Approved,17
78,95,Maternity,2024-04-05,2024-04-17,12,Approved,19
79,157,Annual,2024-03-22,2024-04-02,11,Approved,12
80,230,Paternity,2023-01-16,2023-01-30,14,Approved,20
81,232,Sick,2024-09-29,2024-10-06,7,Approved,23
82,112,Unpaid,2024-02-17,2024-02-21,4,Approved,1
83,58,Annual,2023-02-11,2023-02-19,8,Approved,10
84,25,Maternity,2024-05-26,2024-06-01,6,Approved,5
85,34,Sick,2023-02-16,2023-02-18,2,Pending,26
86,5,Maternity,2024-05-10,2024-05-24,14,Approved,23
87,292,Sick,2024-01-14,2024-01-29,15,Approved,23
88,283,Annual,2023-05-22,2023-05-26,4,Pending,8
89,209,Annual,2023-08-06,2023-08-08,2,Approved,13
90,242,Maternity,2024-09-28,2024-10-13,15,Approved,30
91,250,Annual,2024-02-28,2024-03-09,10,Approved,4
92,297,Maternity,2024-09-10,2024-09-19,9,Pending,26
93,190,Paternity,2023-04-23,2023-04-25,2,Approved,15
94,299,Annual,2023-05-12,2023-05-16,4,Pending,16
95,189,Unpaid,2023-05-01,2023-05-07,6,Approved,6
96,67,Sick,2024-02-16,2024-02-21,5,Approved,6
97,261,Unpaid,2023-11-06,2023-11-12,6,Approved,10
98,298,Sick,2024-12-29,2025-01-05,7,Approved,26
99,283,Paternity,2023-10-15,2023-10-23,8,Approved,1
100,12,Maternity,2024-06-15,2024-06-26,11,Approved,15
101,35,Paternity,2024-10-04,2024-10-06,2,Approved,21
102,26,Annual,2023-11-11,2023-11-16,5,Approved,16
103,261,Unpaid,2023-09-24,2023-10-07,13,Approved,9
104,119,Paternity,2023-11-11,2023-11-26,15,Approved,7
105,220,Annual,2024-02-20,2024-02-27,7,Approved,18
106,235,Annual,2024-02-11,2024-02-24,13,Approved,17
107,35,Unpaid,2023-03-19,2023-03-26,7,Approved,16
108,113,Maternity,2024-03-27,2024-04-07,11,Pending,15
109,214,Paternity,2023-10-23,2023-11-02,10,Rejected,24
110,65,Paternity,2023-10-26,2023-11-01,6,Pending,23
111,53,Unpaid,2023-09-06,2023-09-17,11,Pending,29
112,163,Paternity,2024-06-16,2024-06-18,2,Approved,28
113,110,Maternity,2023-10-19,2023-10-21,2,Approved,25
114,176,Paternity,2024-10-10,2024-10-16,6,Approved,21
115,236,Unpaid,2023-01-31,2023-02-12,12,Approved,2
116,227,Annual,2024-05-02,2024-05-17,15,Pending,21
117,173,Sick,2024-10-17,2024-10-23,6,Approved,1
118,101,Annual,2023-03-14,2023-03-22,8,Approved,9
119,242,Sick,2023-04-17,2023-04-20,3,Rejected,19
120,94,Unpaid,2023-06-29,2023-07-01,2,Approved,12
121,66,Maternity,2024-01-27,2024-02-04,8,Approved,12
122,84,Maternity,2023-12-17,2023-12-30,13,Pending,4
123,148,Unpaid,2024-05-25,2024-06-02,8,Approved,11
124,207,Maternity,2023-06-09,2023-06-24,15,Pending,25
125,225,Maternity,2023-10-04,2023-10-08,4,Approved,24
126,79,Annual,2023-05-19,2023-06-01,13,Approved,2
127,2,Paternity,2023-10-09,2023-10-11,2,Approved,19
128,235,Sick,2024-02-20,2024-02-21,1,Approved,6
129,55,Maternity,2023-03-05,2023-03-19,14,Approved,14
130,211,Paternity,2023-02-18,2023-02-28,10,Rejected,15
131,18,Annual,2023-06-24,2023-06-30,6,Approved,6
132,294,Maternity,2023-05-01,2023-05-13,12,Approved,27
133,92,Annual,2024-09-29,2024-10-03,4,Approved,1
134,178,Annual,2024-03-08,2024-03-20,12,Approved,19
135,59,Maternity,2024-02-02,2024-02-17,15,Pending,17
136,180,Sick,2023-09-17,2023-09-22,5,Approved,9
137,136,Annual,2024-08-17,2024-09-01,15,Approved,24
138,18,Sick,2023-01-28,2023-02-10,13,Approved,19
139,207,Annual,2024-01-20,2024-01-28,8,Approved,26
140,126,Sick,2024-02-26,2024-02-29,3,Approved,12
141,239,Maternity,2023-05-03,2023-05-15,12,Approved,13
142,92,Unpaid,2024-04-29,2024-05-09,10,Approved,11
143,182,Sick,2024-06-19,2024-06-26,7,Approved,9
