budget_id,campaign_id,period_year,period_quarter,allocated_amount,spent_amount
1,1,2023,2,54056.96,52210.41
2,2,2022,4,10896.74,41833.12
3,3,2023,4,57151.32,39220.03
4,4,2023,3,40968.05,2828.56
5,5,2024,2,54588.06,47754.09
6,6,2023,3,41005.24,35909.71
7,7,2023,4,40309.21,17266.49
8,8,2024,1,51707.69,10646.92
9,9,2024,4,7976.45,42240.77
10,10,2022,4,24668.58,72868.34
11,11,2022,1,37773.73,23831.77
12,12,2024,4,64873.81,20099.44
13,13,2022,1,76948.99,60474.08
14,14,2024,4,53875.03,66804.9
15,15,2023,1,33034.6,5806.24
16,16,2022,4,75919.0,74016.05
17,17,2024,2,11447.26,24924.75
18,18,2023,1,40648.03,60988.43
19,19,2022,4,11628.91,52678.72
20,20,2022,3,27583.02,1617.61
21,21,2022,1,19603.87,78168.2
22,22,2022,3,29198.87,47607.31
23,23,2024,3,19694.21,36478.39
24,24,2022,3,66210.04,2250.79
25,25,2024,4,58143.9,76890.56
26,26,2022,1,50469.67,68336.65
27,27,2023,4,65670.06,49833.1
28,28,2023,4,65170.76,36213.8
29,29,2022,1,34186.52,64723.79
30,30,2022,1,57742.78,50857.98
31,31,2022,2,15182.14,17676.72
32,32,2024,2,23731.88,57063.8
33,33,2022,2,56601.18,57939.43
34,34,2023,3,20582.21,34946.88
35,35,2023,4,7821.32,11862.98
36,36,2023,3,71169.59,68464.17
37,37,2022,4,21536.71,41154.08
38,38,2023,3,48783.25,31237.35
39,39,2022,2,76519.86,18923.21
40,40,2024,4,15733.17,55519.0
41,41,2024,3,21333.34,34784.11
42,42,2024,1,49796.36,47493.15
43,43,2024,1,64658.65,47007.89
44,44,2024,1,5305.58,76192.15
45,45,2023,1,60607.25,6508.99
46,46,2022,1,35918.0,66328.45
47,47,2023,2,56848.53,27970.7
48,48,2024,3,59824.12,5979.6
49,49,2023,2,51902.8,13235.99
50,50,2024,2,46881.78,52674.7
51,1,2022,3,16311.29,22734.17
52,2,2024,3,5674.05,7325.43
53,3,2022,1,8961.88,65170.42
54,4,2023,4,14162.06,50439.21
55,5,2023,4,64556.44,46971.81
56,6,2024,2,25105.25,56992.4
57,7,2024,4,56604.53,48802.07
58,8,2022,4,20086.35,42723.27
59,9,2024,4,43171.15,9162.16
60,10,2024,4,33289.2,58030.14
61,11,2022,1,7545.15,25593.5
62,12,2023,3,77632.23,63459.31
63,13,2024,3,51357.92,25248.25
64,14,2024,2,68025.98,8139.36
65,15,2024,2,16593.48,29717.3
66,16,2022,4,34646.43,78366.58
67,17,2024,1,41326.54,43400.25
68,18,2023,2,50423.41,69138.09
69,19,2022,2,37531.25,55565.36
70,20,2024,4,37104.13,14302.35
71,21,2022,4,22163.88,33423.74
72,22,2022,1,58393.32,22729.39
73,23,2022,3,78465.41,1782.67
74,24,2024,2,28407.49,72006.84
75,25,2023,4,5302.88,54168.04
76,26,2023,1,20036.08,40497.76
77,27,2023,2,43982.12,24515.38
78,28,2023,4,66598.43,22465.54
79,29,2022,1,54522.39,75667.25
80,30,2023,4,59076.44,39995.74
81,31,2024,4,19142.49,56203.42
82,32,2024,3,23694.8,56501.27
83,33,2022,2,14708.8,48747.66
84,34,2022,3,23300.56,26543.51
85,35,2022,1,42831.86,65024.11
86,36,2022,3,61437.9,50051.46
87,37,2022,2,9895.85,33126.78
88,38,2022,3,73180.01,69417.06
89,39,2022,2,25606.05,56807.53
90,40,2024,3,52607.07,71268.66
91,41,2023,3,48064.85,42932.34
92,42,2023,1,35531.18,70540.15
93,43,2022,3,53490.22,11493.57
94,44,2023,3,28117.6,71250.78
95,45,2022,1,76112.98,17648.28
96,46,2022,4,36723.51,2616.77
97,47,2022,2,64677.72,45453.43
98,48,2023,3,42538.24,3988.01
99,49,2023,2,72948.11,41443.56
100,50,2023,1,15412.04,46967.8
101,1,2023,4,57683.69,68528.85
102,2,2024,1,29221.77,78161.7
103,3,2022,4,34299.96,3286.52
104,4,2024,3,75380.85,16809.51
105,5,2023,1,42345.64,19376.61
106,6,2024,1,46065.82,43372.76
107,7,2024,2,69537.42,37293.55
108,8,2022,2,31351.08,53858.45
109,9,2023,1,47753.6,75517.0
110,10,2023,2,79800.33,65634.51
111,11,2022,3,55952.71,59393.91
112,12,2022,3,70461.92,32065.21
113,13,2024,3,69794.01,20215.89
114,14,2024,1,17047.82,72250.31
115,15,2023,1,54794.65,14906.45
116,16,2024,1,67056.14,32098.71
117,17,2023,3,46392.21,79203.53
118,18,2023,4,64394.31,55484.09
119,19,2023,2,34869.64,75794.6
120,20,2023,3,13260.99,38938.67
121,21,2022,1,12736.59,57539.72
122,22,2023,1,34656.34,76078.53
123,23,2022,4,5900.18,56204.44
124,24,2024,3,30260.85,29221.74
125,25,2024,3,12794.36,22559.93
126,26,2022,3,18193.66,18430.5
127,27,2024,4,10699.02,25169.23
128,28,2022,3,14371.43,51399.26
129,29,2024,2,16656.68,29042.46
130,30,2024,1,25044.95,3662.61
131,31,2024,1,78109.51,54032.65
132,32,2024,1,30823.02,53460.62
133,33,2024,3,59991.29,53808.4
134,34,2022,4,27878.62,26062.77
135,35,2024,1,53659.88,42695.02
136,36,2022,4,57519.9,72823.02
137,37,2023,1,48422.62,62781.76
138,38,2023,2,26876.96,22546.92
139,39,2023,4,32896.35,44584.54
140,40,2023,4,36325.68,11751.16
141,41,2024,3,75123.97,68679.39
142,42,2023,4,14974.66,4788.1
143,43,2022,1,56530.64,31293.53
144,44,2022,2,37091.27,24838.56
145,45,2024,4,40679.36,70354.46
146,46,2023,1,48806.85,4763.4
147,47,2024,4,35132.76,35722.65
148,48,2023,3,67469.69,53414.11
149,49,2023,3,59269.67,9191.79
150,50,2024,2,68863.3,78411.56
151,1,2023,1,11869.52,13976.28
152,2,2023,2,30146.53,11682.25
153,3,2024,2,77918.51,45144.88
154,4,2022,1,45227.95,51368.48
155,5,2022,4,30497.94,61958.28
156,6,2024,4,52605.62,38778.84
157,7,2022,2,10833.88,69507.58
158,8,2023,4,15701.06,2835.46
159,9,2022,2,69041.57,46171.54
160,10,2023,4,54959.05,77976.7
161,11,2024,3,27458.87,51133.76
162,12,2023,3,73167.65,20443.08
163,13,2022,3,11356.16,15592.59
164,14,2022,4,27482.94,33116.55
165,15,2022,3,8675.13,46296.77
166,16,2023,2,59001.0,1484.71
167,17,2023,4,28071.12,57225.71
168,18,2023,1,21776.81,25933.92
169,19,2022,4,5005.25,29788.34
170,20,2024,1,25821.68,38953.23
171,21,2023,1,73636.19,11474.16
172,22,2023,2,46691.92,56901.15
173,23,2023,4,35032.34,69656.53
174,24,2023,4,23991.62,50265.82
175,25,2023,2,61796.27,49854.98
176,26,2024,1,51491.61,23428.55
177,27,2022,4,56709.31,64321.18
178,28,2024,1,36703.52,34374.96
179,29,2023,3,44411.2,49941.62
180,30,2022,3,68471.59,52923.62
181,31,2023,1,6302.42,1929.01
182,32,2023,2,32279.09,43319.22
183,33,2023,1,5141.37,33928.35
184,34,2023,1,64273.42,58040.79
185,35,2024,4,6836.24,72356.12
186,36,2024,3,61901.46,29940.0
187,37,2022,1,54115.17,56162.87
188,38,2024,2,26058.96,29411.83
189,39,2023,3,61769.58,13153.56
190,40,2022,2,45306.25,20414.29
191,41,2022,3,23076.23,75111.99
192,42,2022,1,61602.23,69404.57
193,43,2024,4,70573.95,28791.59
194,44,2022,4,77970.34,9439.08
195,45,2022,4,6336.07,74349.46
196,46,2023,4,24986.57,55008.18
197,47,2024,4,10521.25,42247.02
198,48,2024,3,14803.54,3324.25
199,49,2022,3,45201.4,37100.11
200,50,2022,1,67949.93,60287.58
