item_id,order_id,product_id,quantity,unit_price,line_total
1,1,177,1,684.52,684.52
2,2,145,2,301.22,602.44
3,3,106,1,905.67,905.67
4,3,53,4,377.58,1510.32
5,4,137,1,694.96,694.96
6,4,27,5,682.78,3413.9
7,4,113,2,329.25,658.5
8,4,57,2,382.38,764.76
9,5,95,1,929.22,929.22
10,5,10,3,477.51,1432.53
11,6,151,4,919.17,3676.68
12,7,72,5,937.46,4687.3
13,8,54,1,84.85,84.85
14,8,88,2,959.49,1918.98
15,8,157,1,400.72,400.72
16,8,24,3,748.59,2245.77
17,9,12,4,967.23,3868.92
18,9,177,3,684.52,2053.56
19,10,169,1,629.93,629.93
20,10,126,2,71.84,143.68
21,11,85,1,723.57,723.57
22,11,23,5,294.0,1470.0
23,11,150,2,985.55,1971.1
24,11,148,3,814.45,2443.35
25,12,110,3,842.4,2527.2
26,13,193,4,573.67,2294.68
27,13,143,2,574.84,1149.68
28,13,7,1,141.35,141.35
29,14,171,3,963.42,2890.26
30,15,45,2,527.87,1055.74
31,15,60,1,248.51,248.51
32,16,51,2,701.88,1403.76
33,16,51,2,701.88,1403.76
34,17,118,1,923.87,923.87
35,17,170,4,91.25,365.0
36,17,58,5,37.06,185.3
37,18,9,1,595.75,595.75
38,18,186,2,734.26,1468.52
39,19,161,3,882.73,2648.19
40,19,176,4,934.25,3737.0
41,19,40,1,265.24,265.24
42,20,122,4,560.2,2240.8
43,20,2,2,433.77,867.54
44,21,9,5,595.75,2978.75
45,21,45,4,527.87,2111.48
46,21,28,1,654.62,654.62
47,22,55,1,123.04,123.04
48,22,40,4,265.24,1060.96
49,23,112,2,968.87,1937.74
50,24,69,5,97.0,485.0
51,24,183,5,925.0,4625.0
52,25,116,2,674.61,1349.22
53,25,153,5,492.01,2460.05
54,25,170,5,91.25,456.25
55,26,115,4,943.25,3773.0
56,26,45,5,527.87,2639.35
57,27,72,3,937.46,2812.38
58,27,67,5,806.74,4033.7
59,27,55,1,123.04,123.04
60,27,51,4,701.88,2807.52
61,28,97,5,503.28,2516.4
62,28,120,1,170.51,170.51
63,28,149,1,172.53,172.53
64,29,14,2,152.04,304.08
65,29,189,5,774.45,3872.25
66,30,144,4,761.2,3044.8
67,31,167,5,881.58,4407.9
68,31,183,2,925.0,1850.0
69,31,14,5,152.04,760.2
70,31,47,5,855.21,4276.05
71,32,33,2,570.12,1140.24
72,32,13,5,585.6,2928.0
73,33,62,5,579.58,2897.9
74,34,87,5,621.68,3108.4
75,35,67,3,806.74,2420.22
76,36,141,2,796.89,1593.78
77,36,46,1,829.62,829.62
78,36,110,4,842.4,3369.6
79,37,36,2,19.01,38.02
80,37,179,1,290.05,290.05
81,38,160,4,444.08,1776.32
82,38,19,4,612.02,2448.08
83,39,189,3,774.45,2323.35
84,40,43,3,157.42,472.26
85,40,87,1,621.68,621.68
86,40,9,1,595.75,595.75
87,40,200,1,983.19,983.19
88,41,186,1,734.26,734.26
89,42,83,2,72.63,145.26
90,43,22,2,382.79,765.58
91,44,26,4,229.54,918.16
92,44,138,3,191.16,573.48
93,44,15,5,23.84,119.2
94,44,7,2,141.35,282.7
95,45,81,4,917.31,3669.24
96,45,173,1,848.64,848.64
97,45,130,3,594.24,1782.72
98,46,67,2,806.74,1613.48
99,46,22,5,382.79,1913.95
100,46,38,5,403.83,2019.15
101,47,74,4,383.75,1535.0
102,47,134,1,814.66,814.66
103,47,39,2,264.48,528.96
104,47,196,3,740.87,2222.61
105,48,81,4,917.31,3669.24
106,49,11,5,797.76,3988.8
107,49,112,4,968.87,3875.48
108,49,7,1,141.35,141.35
109,49,154,1,635.45,635.45
110,50,170,3,91.25,273.75
111,51,97,3,503.28,1509.84
112,51,163,3,727.35,2182.05
113,52,93,5,686.0,3430.0
114,53,136,2,391.52,783.04
115,53,104,4,556.96,2227.84
116,53,145,1,301.22,301.22
117,54,106,2,905.67,1811.34
118,54,69,5,97.0,485.0
119,55,83,3,72.63,217.89
120,55,170,1,91.25,91.25
121,56,80,2,172.39,344.78
122,56,148,4,814.45,3257.8
123,56,187,1,526.23,526.23
124,57,161,4,882.73,3530.92
125,58,105,2,864.39,1728.78
126,59,106,5,905.67,4528.35
127,59,158,5,341.06,1705.3
128,60,159,3,50.71,152.13
129,60,5,5,133.02,665.1
130,60,200,5,983.19,4915.95
131,60,48,2,899.39,1798.78
132,61,16,3,776.09,2328.27
133,62,32,4,190.38,761.52
134,63,136,1,391.52,391.52
135,63,143,5,574.84,2874.2
136,63,190,1,7.56,7.56
137,64,161,3,882.73,2648.19
138,64,165,2,13.02,26.04
139,64,141,4,796.89,3187.56
140,65,64,5,627.86,3139.3
141,65,50,4,258.18,1032.72
142,65,184,2,123.84,247.68
143,65,136,1,391.52,391.52
144,66,69,2,97.0,194.0
145,66,40,1,265.24,265.24
146,66,37,4,612.89,2451.56
147,66,159,3,50.71,152.13
148,67,134,5,814.66,4073.3
149,67,166,3,75.47,226.41
150,68,77,2,264.47,528.94
151,68,6,2,756.18,1512.36
152,68,108,2,423.99,847.98
153,68,95,5,929.22,4646.1
154,69,55,1,123.04,123.04
155,69,80,3,172.39,517.17
156,69,22,4,382.79,1531.16
157,69,11,4,797.76,3191.04
158,70,162,4,87.01,348.04
159,70,41,3,163.92,491.76
160,70,193,3,573.67,1721.01
161,71,11,2,797.76,1595.52
162,71,104,2,556.96,1113.92
163,71,185,3,519.63,1558.89
164,72,140,2,686.27,1372.54
165,72,76,2,373.85,747.7
166,72,187,1,526.23,526.23
167,73,121,4,965.88,3863.52
168,74,106,3,905.67,2717.01
169,74,75,5,468.67,2343.35
170,74,148,5,814.45,4072.25
171,75,198,2,236.83,473.66
172,76,95,2,929.22,1858.44
173,77,71,3,481.99,1445.97
174,77,186,2,734.26,1468.52
175,78,157,1,400.72,400.72
176,78,173,3,848.64,2545.92
177,78,10,3,477.51,1432.53
178,78,176,1,934.25,934.25
179,79,62,2,579.58,1159.16
180,79,56,2,757.39,1514.78
181,79,196,3,740.87,2222.61
182,80,135,3,316.62,949.86
183,80,151,3,919.17,2757.51
184,81,102,2,740.95,1481.9
185,82,27,1,682.78,682.78
186,82,25,5,141.59,707.95
187,83,135,4,316.62,1266.48
188,83,185,1,519.63,519.63
189,83,140,1,686.27,686.27
190,83,156,2,732.27,1464.54
191,84,152,1,253.43,253.43
192,84,162,2,87.01,174.02
193,85,56,2,757.39,1514.78
194,85,104,3,556.96,1670.88
195,85,58,1,37.06,37.06
196,85,105,1,864.39,864.39
197,86,22,5,382.79,1913.95
198,87,195,3,330.66,991.98
199,87,100,1,434.68,434.68
200,87,119,5,595.84,2979.2
201,87,105,5,864.39,4321.95
202,88,3,2,403.57,807.14
203,89,7,1,141.35,141.35
204,89,151,1,919.17,919.17
205,90,200,4,983.19,3932.76
206,90,29,5,324.56,1622.8
207,90,33,5,570.12,2850.6
208,91,63,4,224.94,899.76
209,92,121,4,965.88,3863.52
210,92,68,3,138.42,415.26
211,92,153,1,492.01,492.01
212,93,1,5,599.53,2997.65
213,93,175,2,388.95,777.9
214,93,101,3,799.06,2397.18
215,93,157,3,400.72,1202.16
216,94,15,1,23.84,23.84
217,94,80,5,172.39,861.95
218,95,32,5,190.38,951.9
219,96,28,5,654.62,3273.1
220,96,75,2,468.67,937.34
221,96,60,4,248.51,994.04
222,97,88,1,959.49,959.49
223,97,151,2,919.17,1838.34
224,97,194,4,981.5,3926.0
225,97,50,2,258.18,516.36
226,98,56,5,757.39,3786.95
227,98,155,5,457.42,2287.1
228,99,19,2,612.02,1224.04
229,99,116,3,674.61,2023.83
230,100,87,4,621.68,2486.72
231,100,20,1,772.31,772.31
232,100,66,1,755.64,755.64
233,101,34,5,526.69,2633.45
234,101,138,4,191.16,764.64
235,101,192,1,228.39,228.39
236,102,162,1,87.01,87.01
237,102,200,3,983.19,2949.57
238,102,61,4,144.43,577.72
239,103,110,4,842.4,3369.6
240,103,191,1,920.62,920.62
241,103,133,1,613.25,613.25
242,103,30,2,537.47,1074.94
243,104,200,1,983.19,983.19
244,104,11,2,797.76,1595.52
245,104,15,5,23.84,119.2
246,104,53,3,377.58,1132.74
247,105,102,5,740.95,3704.75
248,105,23,1,294.0,294.0
249,105,99,2,34.48,68.96
250,105,176,4,934.25,3737.0
251,106,83,2,72.63,145.26
252,107,45,2,527.87,1055.74
253,108,88,3,959.49,2878.47
254,108,14,4,152.04,608.16
255,108,131,5,579.46,2897.3
256,109,112,5,968.87,4844.35
257,109,28,4,654.62,2618.48
258,110,109,5,595.83,2979.15
259,110,165,2,13.02,26.04
260,110,160,2,444.08,888.16
261,110,135,3,316.62,949.86
262,111,192,1,228.39,228.39
263,111,30,2,537.47,1074.94
264,111,78,5,333.21,1666.05
265,112,136,4,391.52,1566.08
266,113,88,3,959.49,2878.47
267,113,61,4,144.43,577.72
268,114,105,1,864.39,864.39
269,114,55,2,123.04,246.08
270,115,158,1,341.06,341.06
271,115,14,1,152.04,152.04
272,115,171,3,963.42,2890.26
273,116,177,1,684.52,684.52
274,116,156,1,732.27,732.27
275,116,130,3,594.24,1782.72
276,116,145,5,301.22,1506.1
277,117,75,3,468.67,1406.01
278,118,5,4,133.02,532.08
279,118,66,5,755.64,3778.2
280,119,104,5,556.96,2784.8
281,119,181,5,921.31,4606.55
282,120,197,5,733.79,3668.95
283,120,147,4,861.73,3446.92
284,120,200,3,983.19,2949.57
285,120,142,5,781.83,3909.15
286,121,23,5,294.0,1470.0
287,121,76,2,373.85,747.7
288,121,138,3,191.16,573.48
289,121,149,4,172.53,690.12
290,122,38,3,403.83,1211.49
291,122,145,1,301.22,301.22
292,123,6,5,756.18,3780.9
293,123,80,5,172.39,861.95
294,123,159,2,50.71,101.42
295,124,49,1,566.09,566.09
296,124,48,2,899.39,1798.78
297,125,200,2,983.19,1966.38
298,125,199,4,760.13,3040.52
299,125,104,5,556.96,2784.8
300,126,105,5,864.39,4321.95
301,127,143,4,574.84,2299.36
302,128,102,1,740.95,740.95
303,128,118,4,923.87,3695.48
304,129,165,4,13.02,52.08
305,130,192,2,228.39,456.78
306,130,80,5,172.39,861.95
307,131,134,5,814.66,4073.3
308,131,57,3,382.38,1147.14
309,132,167,2,881.58,1763.16
310,132,134,2,814.66,1629.32
311,132,169,5,629.93,3149.65
312,133,73,1,697.14,697.14
313,134,105,1,864.39,864.39
314,134,37,5,612.89,3064.45
315,134,157,4,400.72,1602.88
316,135,8,5,144.08,720.4
317,135,38,4,403.83,1615.32
318,135,152,3,253.43,760.29
319,136,112,3,968.87,2906.61
320,136,24,5,748.59,3742.95
321,137,147,4,861.73,3446.92
322,137,89,4,655.46,2621.84
323,137,162,1,87.01,87.01
324,137,56,1,757.39,757.39
325,138,110,1,842.4,842.4
326,138,173,2,848.64,1697.28
327,138,197,2,733.79,1467.58
328,138,136,3,391.52,1174.56
329,139,193,1,573.67,573.67
330,139,65,2,786.87,1573.74
331,139,199,3,760.13,2280.39
332,140,139,2,140.85,281.7
333,140,62,5,579.58,2897.9
334,140,198,3,236.83,710.49
335,140,131,3,579.46,1738.38
336,141,8,2,144.08,288.16
337,142,193,2,573.67,1147.34
338,142,1,1,599.53,599.53
339,142,171,5,963.42,4817.1
340,142,112,5,968.87,4844.35
341,143,100,1,434.68,434.68
342,143,15,1,23.84,23.84
343,143,196,4,740.87,2963.48
344,143,129,2,190.45,380.9
345,144,21,2,562.68,1125.36
346,145,7,1,141.35,141.35
347,145,17,4,521.08,2084.32
348,145,136,1,391.52,391.52
349,146,21,3,562.68,1688.04
350,146,162,5,87.01,435.05
351,146,19,3,612.02,1836.06
352,147,117,4,790.12,3160.48
353,148,162,5,87.01,435.05
354,148,51,5,701.88,3509.4
355,149,165,4,13.02,52.08
356,149,161,2,882.73,1765.46
357,149,13,3,585.6,1756.8
358,149,57,3,382.38,1147.14
359,150,5,4,133.02,532.08
360,150,113,4,329.25,1317.0
361,150,154,3,635.45,1906.35
362,151,42,1,640.51,640.51
363,151,183,4,925.0,3700.0
364,151,36,4,19.01,76.04
365,151,196,4,740.87,2963.48
366,152,153,2,492.01,984.02
367,152,89,1,655.46,655.46
368,153,191,4,920.62,3682.48
369,154,99,1,34.48,34.48
370,154,42,5,640.51,3202.55
371,154,180,5,642.33,3211.65
372,154,18,3,462.36,1387.08
373,155,102,5,740.95,3704.75
374,156,18,2,462.36,924.72
375,156,51,2,701.88,1403.76
376,156,117,2,790.12,1580.24
377,157,34,3,526.69,1580.07
378,158,184,2,123.84,247.68
379,158,52,3,290.65,871.95
380,158,103,1,363.11,363.11
381,159,140,1,686.27,686.27
382,159,119,1,595.84,595.84
383,159,53,2,377.58,755.16
384,159,174,1,749.1,749.1
385,160,155,2,457.42,914.84
386,161,98,1,343.89,343.89
387,162,193,4,573.67,2294.68
388,162,61,5,144.43,722.15
389,163,34,4,526.69,2106.76
390,163,127,5,678.75,3393.75
391,163,147,3,861.73,2585.19
392,164,32,2,190.38,380.76
393,164,56,4,757.39,3029.56
394,164,20,5,772.31,3861.55
395,164,76,3,373.85,1121.55
396,165,152,1,253.43,253.43
397,165,186,2,734.26,1468.52
398,165,149,3,172.53,517.59
399,166,37,4,612.89,2451.56
400,167,131,1,579.46,579.46
401,167,25,4,141.59,566.36
402,167,71,3,481.99,1445.97
403,168,61,4,144.43,577.72
404,169,175,3,388.95,1166.85
405,169,27,4,682.78,2731.12
406,170,137,1,694.96,694.96
407,170,37,4,612.89,2451.56
408,170,190,4,7.56,30.24
409,170,171,5,963.42,4817.1
410,171,48,1,899.39,899.39
411,171,4,2,506.73,1013.46
412,172,126,5,71.84,359.2
413,173,27,2,682.78,1365.56
414,173,67,5,806.74,4033.7
415,174,44,5,758.56,3792.8
416,174,140,3,686.27,2058.81
417,174,189,4,774.45,3097.8
418,174,188,5,513.22,2566.1
419,175,60,4,248.51,994.04
420,175,60,5,248.51,1242.55
421,175,63,1,224.94,224.94
422,175,132,2,118.38,236.76
423,176,105,1,864.39,864.39
424,176,87,2,621.68,1243.36
425,176,147,4,861.73,3446.92
426,177,127,5,678.75,3393.75
427,178,104,1,556.96,556.96
428,178,117,4,790.12,3160.48
429,178,180,1,642.33,642.33
430,178,104,4,556.96,2227.84
431,179,104,5,556.96,2784.8
432,179,200,2,983.19,1966.38
433,180,94,1,20.58,20.58
434,181,139,2,140.85,281.7
435,181,22,2,382.79,765.58
436,181,47,2,855.21,1710.42
437,181,162,3,87.01,261.03
438,182,173,2,848.64,1697.28
439,182,23,4,294.0,1176.0
440,182,174,3,749.1,2247.3
441,183,199,3,760.13,2280.39
442,184,27,3,682.78,2048.34
443,184,104,5,556.96,2784.8
444,184,39,1,264.48,264.48
445,184,134,2,814.66,1629.32
446,185,147,2,861.73,1723.46
447,186,146,4,441.87,1767.48
448,186,117,5,790.12,3950.6
449,186,11,5,797.76,3988.8
450,187,61,4,144.43,577.72
451,187,160,5,444.08,2220.4
452,187,139,3,140.85,422.55
453,188,41,2,163.92,327.84
454,189,85,1,723.57,723.57
455,190,170,5,91.25,456.25
456,190,111,5,303.93,1519.65
457,191,130,3,594.24,1782.72
458,191,166,2,75.47,150.94
459,191,77,5,264.47,1322.35
460,192,189,5,774.45,3872.25
461,192,132,5,118.38,591.9
462,192,162,1,87.01,87.01
463,193,73,3,697.14,2091.42
464,194,161,5,882.73,4413.65
465,194,130,4,594.24,2376.96
466,194,193,1,573.67,573.67
467,194,178,4,18.72,74.88
468,195,92,2,233.62,467.24
469,196,140,4,686.27,2745.08
470,196,115,4,943.25,3773.0
471,197,51,5,701.88,3509.4
472,197,197,2,733.79,1467.58
473,197,7,5,141.35,706.75
474,197,116,3,674.61,2023.83
475,198,200,1,983.19,983.19
476,198,158,1,341.06,341.06
477,198,185,4,519.63,2078.52
478,198,127,5,678.75,3393.75
479,199,99,5,34.48,172.4
480,199,39,5,264.48,1322.4
481,199,148,4,814.45,3257.8
482,199,130,4,594.24,2376.96
483,200,34,3,526.69,1580.07
484,200,133,5,613.25,3066.25
485,201,127,1,678.75,678.75
486,201,165,5,13.02,65.1
487,202,175,5,388.95,1944.75
488,202,1,4,599.53,2398.12
489,202,165,2,13.02,26.04
490,203,95,1,929.22,929.22
491,203,179,3,290.05,870.15
492,204,170,3,91.25,273.75
493,205,98,5,343.89,1719.45
494,205,85,4,723.57,2894.28
495,205,146,1,441.87,441.87
496,205,8,1,144.08,144.08
497,206,72,5,937.46,4687.3
498,206,46,3,829.62,2488.86
499,207,69,3,97.0,291.0
500,207,47,5,855.21,4276.05
501,207,101,4,799.06,3196.24
502,208,51,2,701.88,1403.76
503,208,91,5,646.68,3233.4
504,208,76,2,373.85,747.7
505,208,164,2,217.35,434.7
506,209,175,5,388.95,1944.75
507,209,190,5,7.56,37.8
508,210,101,2,799.06,1598.12
509,210,50,5,258.18,1290.9
510,210,147,1,861.73,861.73
511,211,104,2,556.96,1113.92
512,211,67,1,806.74,806.74
513,211,176,3,934.25,2802.75
514,212,137,3,694.96,2084.88
515,212,185,4,519.63,2078.52
516,213,88,4,959.49,3837.96
517,213,43,5,157.42,787.1
518,214,104,5,556.96,2784.8
519,214,57,2,382.38,764.76
520,215,136,5,391.52,1957.6
521,215,176,3,934.25,2802.75
522,215,27,2,682.78,1365.56
523,216,144,4,761.2,3044.8
524,217,94,1,20.58,20.58
525,217,166,4,75.47,301.88
526,217,133,3,613.25,1839.75
527,218,144,3,761.2,2283.6
528,218,5,5,133.02,665.1
529,218,83,4,72.63,290.52
530,218,198,3,236.83,710.49
531,219,58,1,37.06,37.06
532,219,50,3,258.18,774.54
533,219,161,5,882.73,4413.65
534,220,173,5,848.64,4243.2
535,221,29,4,324.56,1298.24
536,222,43,1,157.42,157.42
537,222,51,5,701.88,3509.4
538,222,181,3,921.31,2763.93
539,222,149,2,172.53,345.06
540,223,10,1,477.51,477.51
541,223,94,2,20.58,41.16
542,223,101,3,799.06,2397.18
543,224,84,3,660.98,1982.94
544,225,28,3,654.62,1963.86
545,225,84,2,660.98,1321.96
546,225,28,2,654.62,1309.24
547,225,187,2,526.23,1052.46
548,226,159,2,50.71,101.42
549,226,108,4,423.99,1695.96
550,226,187,5,526.23,2631.15
551,227,61,4,144.43,577.72
552,228,82,1,945.45,945.45
553,228,5,5,133.02,665.1
554,228,69,2,97.0,194.0
555,228,179,1,290.05,290.05
556,229,198,1,236.83,236.83
557,229,10,3,477.51,1432.53
558,229,46,4,829.62,3318.48
559,230,158,5,341.06,1705.3
560,230,32,5,190.38,951.9
561,230,135,4,316.62,1266.48
562,230,144,1,761.2,761.2
563,231,194,4,981.5,3926.0
564,231,2,3,433.77,1301.31
565,232,34,2,526.69,1053.38
566,232,132,5,118.38,591.9
567,232,143,3,574.84,1724.52
568,233,42,2,640.51,1281.02
569,233,85,5,723.57,3617.85
570,233,199,4,760.13,3040.52
571,233,107,1,143.14,143.14
572,234,198,5,236.83,1184.15
573,234,130,4,594.24,2376.96
574,234,194,4,981.5,3926.0
575,235,72,3,937.46,2812.38
576,235,43,2,157.42,314.84
577,235,127,3,678.75,2036.25
578,235,131,3,579.46,1738.38
579,236,139,3,140.85,422.55
580,236,188,5,513.22,2566.1
581,236,109,3,595.83,1787.49
582,237,183,5,925.0,4625.0
583,237,74,2,383.75,767.5
584,237,129,2,190.45,380.9
585,238,158,1,341.06,341.06
586,238,22,4,382.79,1531.16
587,238,86,1,807.13,807.13
588,239,2,1,433.77,433.77
589,239,11,2,797.76,1595.52
590,240,96,2,678.64,1357.28
591,240,151,2,919.17,1838.34
592,240,19,2,612.02,1224.04
593,241,165,1,13.02,13.02
594,241,84,3,660.98,1982.94
595,242,54,1,84.85,84.85
596,243,88,4,959.49,3837.96
597,243,9,5,595.75,2978.75
598,243,53,4,377.58,1510.32
599,244,175,1,388.95,388.95
600,244,73,3,697.14,2091.42
601,245,134,5,814.66,4073.3
602,245,158,4,341.06,1364.24
603,245,99,5,34.48,172.4
604,246,37,4,612.89,2451.56
605,246,177,2,684.52,1369.04
606,246,109,4,595.83,2383.32
607,246,164,4,217.35,869.4
608,247,165,4,13.02,52.08
609,247,39,1,264.48,264.48
610,247,34,3,526.69,1580.07
611,248,95,3,929.22,2787.66
612,248,54,1,84.85,84.85
613,249,45,5,527.87,2639.35
614,249,28,2,654.62,1309.24
615,250,17,2,521.08,1042.16
616,250,52,5,290.65,1453.25
617,251,166,1,75.47,75.47
618,251,161,3,882.73,2648.19
619,252,16,4,776.09,3104.36
620,253,24,5,748.59,3742.95
621,254,107,3,143.14,429.42
622,254,126,2,71.84,143.68
623,255,184,5,123.84,619.2
624,255,119,3,595.84,1787.52
625,256,137,2,694.96,1389.92
626,257,104,5,556.96,2784.8
627,257,181,1,921.31,921.31
628,257,171,4,963.42,3853.68
629,257,46,2,829.62,1659.24
630,258,123,4,154.99,619.96
631,258,83,3,72.63,217.89
632,258,192,3,228.39,685.17
633,259,124,2,832.15,1664.3
634,259,98,2,343.89,687.78
635,259,147,1,861.73,861.73
636,260,37,5,612.89,3064.45
637,260,24,5,748.59,3742.95
638,260,199,4,760.13,3040.52
639,261,169,5,629.93,3149.65
640,261,62,1,579.58,579.58
641,261,101,1,799.06,799.06
642,261,141,2,796.89,1593.78
643,262,31,4,882.82,3531.28
644,262,45,1,527.87,527.87
645,262,118,2,923.87,1847.74
646,262,51,4,701.88,2807.52
647,263,145,5,301.22,1506.1
648,263,48,1,899.39,899.39
649,264,47,2,855.21,1710.42
650,264,40,5,265.24,1326.2
651,264,146,5,441.87,2209.35
652,265,190,4,7.56,30.24
653,265,44,1,758.56,758.56
654,266,84,5,660.98,3304.9
655,266,20,3,772.31,2316.93
656,266,61,5,144.43,722.15
657,266,141,2,796.89,1593.78
658,267,43,3,157.42,472.26
659,267,168,3,73.07,219.21
660,268,148,5,814.45,4072.25
661,268,53,3,377.58,1132.74
