order_id,customer_id,rep_id,order_date,status,channel,discount_pct,shipping_cost,region_id
1,481,21,2022-06-22,Cancelled,Phone,0.0,22.94,1
2,12,3,2023-02-09,Delivered,Online,0.0,22.63,3
3,63,2,2024-08-02,Pending,Online,10.0,10.83,4
4,255,1,2024-02-23,Delivered,Online,0.0,5.37,2
5,141,9,2024-07-02,Processing,Online,10.0,15.48,2
6,332,10,2024-10-18,Delivered,Phone,5.0,1.52,3
7,197,5,2024-05-08,Processing,Phone,20.0,13.15,5
8,407,1,2024-02-23,Shipped,In-Store,10.0,19.54,3
9,468,19,2024-10-25,Shipped,In-Store,0.0,4.5,3
10,306,8,2022-03-02,Shipped,Online,20.0,24.79,5
11,184,25,2023-04-22,Processing,Online,0.0,16.42,3
12,274,27,2022-04-25,Processing,Phone,20.0,24.57,4
13,182,30,2022-12-22,Processing,Online,10.0,7.95,3
14,468,19,2022-02-27,Shipped,Phone,10.0,3.55,2
15,429,26,2024-10-05,Cancelled,In-Store,0.0,12.26,1
16,29,8,2023-03-25,Pending,Phone,5.0,0.02,5
17,104,26,2022-09-25,Shipped,Phone,0.0,22.97,3
18,31,1,2022-10-30,Cancelled,Phone,0.0,19.36,5
19,441,12,2022-05-29,Shipped,Phone,15.0,9.89,1
20,173,10,2023-10-23,Processing,Online,15.0,23.72,4
21,333,11,2022-12-23,Cancelled,Phone,10.0,19.67,2
22,341,19,2022-12-26,Delivered,In-Store,15.0,17.21,2
23,91,24,2022-01-04,Cancelled,In-Store,20.0,24.86,5
24,17,6,2023-10-14,Cancelled,Online,15.0,14.14,4
25,73,11,2022-06-09,Processing,In-Store,0.0,4.2,1
26,421,23,2023-11-19,Delivered,Online,0.0,5.24,1
27,180,9,2022-08-10,Pending,Online,5.0,10.96,4
28,497,6,2024-04-27,Delivered,In-Store,0.0,13.65,1
29,425,16,2023-04-07,Processing,In-Store,0.0,19.98,1
30,151,1,2023-10-15,Shipped,Online,0.0,8.55,4
31,83,24,2022-06-03,Cancelled,Online,0.0,14.85,5
32,458,16,2022-03-05,Delivered,Phone,0.0,15.18,4
33,81,2,2022-07-27,Shipped,Online,0.0,10.23,5
34,370,30,2023-06-28,Shipped,In-Store,0.0,2.4,4
35,293,18,2024-10-02,Processing,Online,0.0,0.1,1
36,151,27,2024-09-10,Processing,Online,0.0,5.17,3
37,42,16,2022-08-25,Shipped,In-Store,5.0,12.23,3
38,47,21,2024-03-04,Processing,In-Store,5.0,9.24,4
39,23,9,2024-06-19,Delivered,In-Store,0.0,20.93,5
40,32,5,2022-07-18,Pending,Phone,0.0,20.2,4
41,498,25,2023-04-11,Cancelled,Online,20.0,9.68,5
42,215,18,2024-08-30,Cancelled,Online,5.0,7.47,4
43,463,28,2022-03-13,Cancelled,Phone,10.0,20.01,5
44,76,4,2024-07-08,Processing,Online,0.0,20.21,2
45,22,14,2022-06-10,Delivered,Online,20.0,15.68,5
46,133,11,2022-05-18,Pending,In-Store,10.0,9.93,3
47,439,9,2024-11-30,Delivered,Online,20.0,17.51,5
48,268,26,2024-05-09,Pending,In-Store,0.0,3.7,5
49,299,25,2022-07-25,Pending,Phone,20.0,2.52,3
50,445,18,2023-12-06,Delivered,In-Store,5.0,16.37,5
51,312,16,2022-03-18,Processing,In-Store,5.0,3.6,5
52,349,23,2024-04-02,Pending,In-Store,0.0,17.26,1
53,382,16,2023-07-05,Shipped,Online,0.0,20.43,3
54,160,9,2024-10-03,Pending,Online,0.0,7.51,4
55,397,27,2023-10-20,Shipped,Phone,5.0,15.12,1
56,97,15,2023-03-09,Delivered,Phone,5.0,18.99,3
57,421,2,2024-11-21,Processing,Online,0.0,17.74,4
58,70,25,2024-12-09,Cancelled,Online,0.0,4.82,2
59,429,2,2023-05-26,Pending,In-Store,0.0,22.95,2
60,141,12,2024-08-08,Cancelled,In-Store,15.0,23.08,1
61,124,12,2024-09-28,Cancelled,In-Store,0.0,24.01,4
62,301,18,2023-12-18,Shipped,Online,20.0,22.36,1
63,146,1,2024-03-02,Pending,Online,20.0,14.31,2
64,439,8,2023-04-07,Processing,In-Store,15.0,10.24,1
65,443,25,2022-01-19,Delivered,Online,15.0,4.33,1
66,115,9,2023-09-18,Shipped,In-Store,5.0,21.29,4
67,130,7,2024-08-13,Shipped,Phone,10.0,20.61,4
68,300,4,2022-01-16,Cancelled,Phone,20.0,20.98,5
69,332,20,2023-08-02,Shipped,Phone,0.0,12.04,3
70,142,21,2023-10-28,Shipped,In-Store,15.0,17.78,3
71,97,5,2024-11-25,Processing,Online,20.0,21.43,5
72,207,22,2023-10-17,Processing,Phone,0.0,16.39,3
73,133,30,2024-05-07,Delivered,In-Store,15.0,0.88,5
74,418,7,2023-12-04,Processing,Phone,10.0,15.96,4
75,465,22,2024-01-05,Cancelled,In-Store,20.0,4.25,5
76,93,10,2022-07-19,Delivered,Online,15.0,6.47,5
77,391,30,2023-01-10,Shipped,Phone,0.0,5.56,2
78,382,28,2023-09-21,Delivered,In-Store,0.0,6.51,3
79,238,28,2022-08-30,Delivered,Online,20.0,15.86,5
80,484,20,2022-05-26,Delivered,Online,10.0,3.0,4
81,272,10,2024-04-26,Pending,Online,0.0,24.81,3
82,210,19,2024-07-26,Processing,In-Store,20.0,17.89,1
83,250,11,2022-12-29,Shipped,Phone,0.0,0.12,3
84,108,25,2022-12-12,Cancelled,Online,5.0,19.63,1
85,67,20,2024-06-07,Delivered,In-Store,5.0,24.13,4
86,3,2,2024-12-29,Processing,Phone,0.0,23.75,3
87,388,27,2024-12-23,Processing,Online,15.0,0.1,2
88,116,23,2023-12-07,Shipped,Online,0.0,9.59,5
89,157,6,2022-05-14,Pending,In-Store,0.0,11.4,5
90,306,17,2023-11-23,Delivered,Phone,0.0,8.57,4
91,184,25,2023-01-21,Processing,In-Store,0.0,5.71,2
92,109,24,2022-02-14,Cancelled,Phone,0.0,3.08,1
93,193,29,2023-06-08,Cancelled,Phone,0.0,14.85,1
94,339,4,2022-02-10,Pending,Phone,0.0,10.42,4
95,64,18,2023-06-02,Delivered,Phone,0.0,5.14,1
96,155,14,2022-07-26,Cancelled,In-Store,10.0,15.14,2
97,215,27,2022-08-03,Cancelled,Phone,10.0,2.94,1
98,402,4,2024-10-16,Processing,Phone,0.0,19.45,5
99,499,7,2024-01-04,Delivered,In-Store,0.0,0.99,4
100,467,7,2024-09-11,Shipped,Online,0.0,0.32,1
101,465,4,2024-10-08,Processing,Online,20.0,12.79,1
102,464,9,2023-04-19,Delivered,In-Store,0.0,11.61,1
103,417,6,2022-03-22,Shipped,In-Store,20.0,16.92,4
104,379,4,2022-07-14,Pending,Online,20.0,3.46,2
105,169,12,2024-06-15,Cancelled,In-Store,15.0,2.32,3
106,94,4,2024-03-31,Delivered,In-Store,0.0,20.89,4
107,410,14,2022-12-08,Pending,Online,15.0,18.16,2
108,54,14,2024-09-15,Cancelled,Phone,5.0,4.53,4
109,399,12,2022-03-01,Processing,In-Store,5.0,2.82,4
110,226,2,2022-05-10,Shipped,Phone,0.0,0.31,5
111,393,24,2023-04-04,Shipped,Phone,10.0,17.21,5
112,49,14,2023-05-25,Delivered,In-Store,15.0,16.91,4
113,77,27,2022-04-22,Pending,Phone,0.0,12.64,4
114,437,16,2022-12-05,Pending,In-Store,0.0,6.02,3
115,26,17,2023-04-02,Cancelled,Phone,5.0,10.08,2
116,41,15,2024-06-28,Cancelled,In-Store,0.0,21.41,4
117,162,4,2024-10-15,Pending,Online,5.0,10.31,5
118,282,1,2022-07-06,Cancelled,Phone,15.0,7.61,5
119,288,7,2024-07-23,Shipped,In-Store,20.0,1.36,2
120,433,15,2023-11-11,Cancelled,Phone,10.0,11.83,3
121,367,15,2022-08-22,Pending,Phone,0.0,0.05,3
122,425,21,2023-08-21,Cancelled,Phone,0.0,17.55,1
123,460,6,2024-10-05,Processing,Phone,15.0,18.04,1
124,131,20,2023-02-06,Processing,Online,20.0,9.82,4
125,423,26,2023-01-26,Shipped,Online,20.0,10.36,5
126,64,25,2024-07-11,Delivered,Phone,10.0,23.9,2
127,494,16,2022-01-09,Cancelled,Phone,0.0,13.83,4
128,430,19,2024-09-16,Cancelled,Online,15.0,14.46,2
129,54,13,2023-10-22,Cancelled,In-Store,5.0,24.49,2
130,141,13,2023-12-04,Shipped,In-Store,20.0,3.33,4
131,309,23,2024-11-15,Shipped,Phone,10.0,21.52,5
132,324,7,2023-02-16,Processing,Phone,15.0,7.26,3
133,472,22,2022-09-29,Processing,Phone,10.0,17.36,3
134,364,4,2023-12-23,Cancelled,In-Store,10.0,14.27,4
135,346,24,2024-12-29,Shipped,In-Store,20.0,0.32,1
136,13,13,2022-10-25,Pending,Phone,0.0,5.0,2
137,147,22,2023-05-29,Processing,Online,15.0,19.61,2
138,386,18,2022-03-08,Shipped,In-Store,0.0,15.4,5
139,443,8,2024-03-07,Processing,Phone,20.0,19.92,3
140,355,22,2022-04-07,Delivered,In-Store,5.0,23.92,3
141,495,18,2022-04-21,Pending,Phone,0.0,5.08,4
142,425,8,2024-01-24,Cancelled,Phone,15.0,15.08,2
143,151,15,2022-12-30,Pending,Online,0.0,18.38,1
144,194,2,2024-05-27,Shipped,Phone,0.0,3.25,5
145,434,9,2022-01-12,Shipped,In-Store,15.0,23.44,1
146,79,30,2023-10-23,Cancelled,Online,20.0,23.31,5
147,432,22,2023-09-09,Delivered,Phone,10.0,8.95,3
148,270,8,2023-01-12,Cancelled,Online,20.0,12.63,4
149,279,18,2024-04-06,Pending,In-Store,0.0,22.08,3
150,170,12,2023-08-25,Processing,Phone,10.0,11.87,5
151,422,25,2022-01-19,Pending,Phone,0.0,11.14,5
152,471,20,2023-05-15,Pending,Phone,0.0,9.53,1
153,198,9,2023-08-03,Pending,Phone,20.0,19.26,5
154,412,17,2024-07-01,Delivered,Online,0.0,22.46,2
155,165,17,2022-06-18,Pending,Online,20.0,13.45,1
156,321,3,2023-03-08,Processing,Phone,5.0,20.89,2
157,276,27,2024-06-10,Pending,Phone,15.0,3.84,4
158,368,11,2022-03-19,Pending,Online,0.0,4.45,3
159,286,3,2023-04-12,Shipped,In-Store,5.0,11.28,4
160,222,11,2022-02-04,Delivered,Phone,0.0,13.37,5
161,33,25,2022-04-04,Pending,In-Store,10.0,2.65,3
162,311,3,2023-07-31,Delivered,In-Store,5.0,20.55,1
163,243,6,2024-12-28,Processing,Online,15.0,9.77,5
164,152,21,2022-10-23,Shipped,Phone,20.0,21.68,3
165,491,1,2022-10-17,Pending,Online,0.0,14.32,4
166,276,18,2022-06-24,Shipped,Online,15.0,18.54,3
167,109,14,2024-11-15,Processing,Online,0.0,5.52,3
168,100,4,2023-01-07,Cancelled,Online,20.0,18.78,5
169,237,21,2022-05-30,Shipped,Phone,0.0,6.27,2
170,372,19,2024-09-24,Shipped,In-Store,0.0,16.78,2
171,52,10,2022-05-23,Processing,In-Store,5.0,11.27,5
172,338,10,2022-11-09,Cancelled,Phone,0.0,20.19,4
173,87,1,2023-10-04,Processing,Online,15.0,18.5,4
174,142,27,2024-01-07,Processing,Phone,15.0,8.29,4
175,237,15,2024-01-05,Shipped,In-Store,10.0,2.72,5
176,42,27,2023-07-29,Processing,Phone,0.0,6.58,1
177,373,3,2022-02-08,Cancelled,Phone,0.0,20.32,5
178,208,25,2023-03-12,Pending,Phone,0.0,13.59,5
179,242,21,2022-11-01,Shipped,In-Store,0.0,22.29,5
180,376,28,2023-08-19,Processing,In-Store,10.0,12.76,4
181,187,17,2022-01-22,Processing,Phone,15.0,4.15,5
182,72,15,2022-11-23,Processing,Phone,10.0,16.49,2
183,377,24,2024-09-17,Shipped,Online,0.0,19.04,2
184,33,9,2024-01-27,Processing,Online,15.0,5.17,3
185,199,16,2024-07-20,Pending,Online,15.0,8.1,5
186,325,27,2023-07-15,Shipped,Phone,10.0,14.25,4
187,335,13,2024-01-19,Cancelled,Phone,20.0,1.95,3
188,193,30,2023-04-02,Cancelled,In-Store,0.0,20.43,3
189,250,26,2024-09-14,Cancelled,Online,10.0,22.05,4
190,85,8,2022-06-07,Cancelled,Phone,0.0,5.29,2
191,81,12,2022-08-31,Processing,In-Store,20.0,8.26,1
192,247,22,2024-09-07,Delivered,Online,10.0,4.03,4
