return_id,order_id,product_id,return_date,reason,quantity,refund_amount
1,1456,144,2022-04-28,Defective,2,77.48
2,868,144,2024-02-18,Defective,2,28.84
3,285,34,2022-03-10,Changed mind,2,21.35
4,532,48,2022-09-09,Changed mind,1,178.27
5,1438,17,2022-12-11,Not as described,3,139.76
6,1649,176,2023-06-20,Wrong item,2,314.02
7,1176,195,2024-01-07,Wrong item,1,400.77
8,925,186,2022-09-22,Defective,1,127.11
9,745,91,2022-04-29,Changed mind,1,206.54
10,490,48,2024-09-29,Changed mind,1,280.17
11,962,173,2024-04-17,Wrong item,3,178.53
12,1936,178,2022-06-13,Changed mind,2,119.49
13,1624,50,2024-02-15,Changed mind,2,177.69
14,1505,21,2023-08-14,Not as described,1,401.11
15,1301,161,2022-08-13,Wrong item,2,55.95
16,591,123,2023-11-14,Changed mind,2,163.21
17,51,176,2023-05-25,Not as described,3,25.31
18,1429,196,2024-07-03,Wrong item,2,101.37
19,1657,28,2024-06-29,Not as described,1,131.25
20,669,65,2024-04-28,Defective,1,424.47
21,1014,171,2023-12-11,Not as described,2,482.03
22,1811,185,2023-02-05,Not as described,2,442.66
23,1602,45,2024-07-16,Defective,3,136.19
24,1414,31,2025-01-10,Not as described,2,88.29
25,189,151,2022-06-30,Not as described,3,124.68
26,1653,155,2024-07-31,Wrong item,1,397.15
27,1315,61,2024-01-18,Defective,2,374.92
28,1562,16,2023-11-27,Changed mind,1,359.02
29,568,185,2022-12-18,Wrong item,3,354.91
30,625,108,2024-08-19,Wrong item,3,403.88
31,801,45,2023-05-15,Changed mind,1,415.61
32,1938,136,2022-05-18,Changed mind,3,178.64
33,1359,24,2023-10-19,Wrong item,1,81.17
34,1969,156,2023-07-10,Not as described,2,189.47
35,1224,174,2022-12-22,Wrong item,3,126.4
36,753,64,2023-08-05,Wrong item,2,187.29
37,1846,95,2024-08-21,Not as described,2,100.55
38,836,157,2022-07-09,Defective,3,172.31
39,1390,152,2022-04-19,Changed mind,3,136.79
40,1592,22,2025-01-31,Wrong item,3,156.59
41,1861,112,2024-04-01,Wrong item,1,444.43
42,1016,176,2023-01-16,Not as described,2,68.16
43,524,165,2022-10-06,Changed mind,1,209.92
44,102,175,2022-10-21,Not as described,3,71.99
45,1476,87,2022-07-10,Not as described,1,430.04
46,780,131,2022-10-15,Not as described,1,345.8
47,1112,22,2022-06-18,Not as described,1,411.85
48,1850,40,2023-01-15,Defective,3,279.47
49,1010,102,2022-08-02,Changed mind,2,116.74
50,1616,118,2024-08-08,Not as described,1,388.71
51,427,92,2022-12-06,Not as described,2,10.48
52,742,165,2023-10-20,Changed mind,3,372.84
53,1323,187,2022-08-13,Changed mind,1,37.68
54,623,71,2023-12-11,Defective,1,406.34
55,519,46,2022-03-13,Wrong item,3,194.87
56,1925,134,2023-07-13,Not as described,3,310.33
57,764,55,2023-11-25,Changed mind,1,93.35
58,449,81,2024-12-25,Not as described,2,383.0
59,521,13,2023-06-30,Defective,2,14.17
60,677,200,2023-04-26,Changed mind,2,345.57
61,1484,118,2024-02-11,Changed mind,3,43.72
62,135,183,2022-12-25,Wrong item,2,275.43
63,575,25,2022-05-31,Defective,1,416.75
64,1343,171,2022-11-26,Not as described,1,45.12
65,879,193,2023-12-03,Defective,1,129.84
66,1836,97,2022-07-02,Defective,3,162.15
67,1125,39,2022-03-06,Defective,1,272.35
68,1998,141,2023-02-10,Changed mind,1,95.17
69,1099,198,2023-04-08,Defective,3,199.5
70,1358,32,2024-06-19,Wrong item,2,422.14
71,1685,61,2022-08-24,Not as described,1,371.76
72,858,154,2022-03-26,Not as described,3,260.04
73,725,181,2023-11-18,Not as described,2,246.25
74,1900,12,2022-05-27,Defective,2,73.41
75,1790,66,2022-09-21,Defective,2,457.53
76,1053,117,2022-10-20,Not as described,1,141.81
77,407,94,2022-04-26,Changed mind,1,98.35
78,1365,118,2022-03-14,Changed mind,1,384.73
79,1531,200,2022-08-12,Changed mind,3,158.93
80,1788,67,2024-03-14,Not as described,3,241.58
81,549,158,2024-05-18,Changed mind,2,200.85
82,1038,30,2023-03-17,Not as described,2,254.27
83,1611,61,2024-08-16,Not as described,3,345.33
84,608,30,2024-12-21,Not as described,1,424.76
85,1151,62,2024-02-24,Not as described,1,75.89
86,1519,103,2024-04-20,Not as described,3,117.19
87,1754,7,2024-04-01,Changed mind,2,111.66
88,469,26,2023-04-05,Not as described,3,150.38
89,1355,12,2023-02-03,Wrong item,1,346.82
90,1899,184,2023-10-13,Not as described,1,157.94
91,724,101,2024-04-19,Wrong item,2,217.89
92,1342,187,2023-05-22,Defective,2,476.2
93,1121,29,2022-07-25,Not as described,2,391.78
94,1935,176,2023-11-01,Wrong item,3,338.76
95,1291,96,2023-03-16,Changed mind,3,121.11
96,328,154,2024-05-21,Not as described,1,444.72
97,1751,107,2023-08-19,Not as described,1,422.44
98,853,100,2023-12-02,Not as described,3,488.71
99,1705,100,2025-01-09,Not as described,1,116.06
100,1013,142,2023-06-17,Defective,1,146.37
101,443,57,2024-11-21,Wrong item,2,367.18
102,890,177,2022-08-09,Changed mind,3,488.01
103,803,192,2022-12-22,Defective,3,325.49
104,1700,124,2022-06-27,Not as described,2,303.17
105,614,72,2022-07-10,Defective,2,34.44
106,1061,191,2022-12-23,Defective,1,276.18
107,642,44,2022-11-18,Wrong item,2,245.11
108,493,133,2023-03-30,Defective,1,272.87
109,316,115,2024-05-29,Defective,2,173.99
110,61,115,2025-01-30,Changed mind,3,243.76
111,1763,73,2024-09-05,Defective,2,89.0
112,1662,35,2022-10-05,Not as described,1,64.09
113,944,140,2024-06-16,Changed mind,2,184.41
114,969,189,2022-09-11,Defective,1,222.01
115,748,127,2023-05-07,Changed mind,2,432.17
116,1075,25,2024-06-13,Wrong item,1,92.4
117,965,119,2024-03-20,Changed mind,2,410.81
118,10,191,2024-06-26,Defective,2,302.37
119,1893,156,2024-06-18,Wrong item,2,457.79
120,1041,130,2022-07-24,Defective,3,421.2
121,1248,55,2022-06-18,Not as described,3,489.23
122,596,43,2022-06-05,Defective,1,325.07
123,500,4,2024-12-18,Defective,2,495.64
124,326,90,2023-03-22,Wrong item,1,200.62
125,1584,177,2023-04-03,Not as described,1,403.14
126,1333,62,2022-08-05,Not as described,3,431.88
127,837,85,2023-08-31,Defective,1,162.13
128,1580,155,2022-06-24,Wrong item,2,339.55
129,1647,154,2024-03-01,Changed mind,2,262.79
130,1250,86,2024-12-26,Wrong item,2,350.47
131,1149,61,2022-11-09,Wrong item,2,426.8
132,448,188,2023-05-21,Wrong item,1,456.28
133,1346,199,2024-01-30,Defective,2,406.27
134,1699,18,2023-03-13,Changed mind,3,441.49
135,1329,18,2023-08-03,Not as described,2,450.03
136,516,28,2023-03-09,Wrong item,2,407.44
137,616,32,2024-05-18,Wrong item,3,303.13
138,1785,92,2023-08-11,Defective,1,364.43
139,1493,143,2023-07-29,Changed mind,1,55.97
140,882,100,2023-05-20,Defective,3,128.76
141,1223,198,2024-10-19,Not as described,3,334.12
142,1415,87,2022-06-03,Not as described,3,334.18
143,691,93,2024-10-07,Wrong item,3,146.01
144,1775,187,2022-05-05,Wrong item,3,62.73
145,1097,124,2023-03-21,Changed mind,3,473.4
146,65,24,2024-07-05,Not as described,3,41.54
147,730,53,2023-05-16,Not as described,1,467.81
148,49,116,2022-04-28,Not as described,3,76.68
149,1563,123,2023-06-07,Changed mind,1,356.11
150,1483,47,2023-11-16,Wrong item,3,94.11
151,1619,44,2023-09-05,Defective,3,312.2
152,626,185,2023-06-14,Defective,2,340.12
