incident_id,title,severity,category,detected_at,resolved_at,status,assigned_to
1,Data Breach Attempt — Southern,Medium,Data Breach,2022-03-14 03:52:00,2022-06-25 13:53:00,Open,IR Team
2,DDoS Attempt — Six,Medium,Phishing,2022-02-28 01:45:00,2022-05-16 04:47:00,Closed,CISO
3,Insider Threat Attempt — Every,Critical,Data Breach,2024-04-15 05:02:00,2025-01-03 07:51:00,Closed,CISO
4,Phishing Attempt — Generation,Medium,DDoS,2023-12-11 01:03:00,2022-05-22 07:04:00,Closed,External Vendor
5,Phishing Attempt — Pass,High,Data Breach,2022-04-20 03:08:00,2023-02-24 04:30:00,Open,CISO
6,Ransomware Attempt — Series,Critical,Phishing,2023-09-27 12:24:00,2022-09-02 04:39:00,Closed,CISO
7,Phishing Attempt — Consider,Low,Data Breach,2024-03-17 18:59:00,2024-08-23 22:04:00,Closed,CISO
8,Insider Threat Attempt — Defense,Medium,DDoS,2022-09-24 02:17:00,2024-02-29 14:47:00,Contained,External Vendor
9,Data Breach Attempt — Control,Critical,Insider Threat,2022-09-08 21:22:00,2022-08-11 17:40:00,Closed,CISO
10,Data Breach Attempt — Talk,Low,Phishing,2024-10-15 12:40:00,,Investigating,External Vendor
11,DDoS Attempt — Hope,Medium,DDoS,2024-04-28 14:53:00,2023-05-31 18:49:00,Closed,External Vendor
12,Ransomware Attempt — Room,Medium,Insider Threat,2022-12-11 12:22:00,2022-09-06 03:30:00,Closed,External Vendor
13,Ransomware Attempt — Name,Medium,Phishing,2024-09-22 19:11:00,2023-03-24 22:34:00,Closed,CISO
14,Data Breach Attempt — Arrive,Critical,Ransomware,2024-02-02 16:24:00,2023-03-10 17:01:00,Closed,External Vendor
15,DDoS Attempt — So,High,Ransomware,2022-09-19 03:00:00,2024-12-13 14:15:00,Closed,IR Team
16,Ransomware Attempt — Course,Low,Data Breach,2023-09-26 07:51:00,2024-05-23 09:32:00,Open,IR Team
17,Phishing Attempt — Fight,Medium,Insider Threat,2023-03-26 01:53:00,2024-03-10 09:14:00,Closed,External Vendor
18,Ransomware Attempt — Hand,High,Insider Threat,2022-11-26 05:18:00,2023-07-28 08:08:00,Closed,CISO
19,Ransomware Attempt — From,Low,Phishing,2023-01-21 00:54:00,2022-01-05 00:40:00,Contained,SOC Team
20,Ransomware Attempt — Think,Low,Data Breach,2024-12-18 13:39:00,2022-02-12 09:38:00,Closed,External Vendor
21,Data Breach Attempt — Money,Critical,Data Breach,2022-11-23 14:02:00,2022-12-13 00:12:00,Closed,SOC Team
22,Ransomware Attempt — Bank,Medium,Ransomware,2024-03-29 07:36:00,2024-10-27 08:58:00,Closed,CISO
23,Data Breach Attempt — Whose,Medium,Ransomware,2022-05-04 00:35:00,2023-07-09 02:14:00,Closed,CISO
24,Insider Threat Attempt — Blue,High,Ransomware,2024-11-08 18:45:00,2022-02-06 17:22:00,Open,SOC Team
25,Phishing Attempt — Space,Low,DDoS,2022-07-20 23:38:00,2024-03-12 10:29:00,Closed,SOC Team
26,Phishing Attempt — Identify,Low,Phishing,2023-01-21 03:37:00,2022-06-20 02:07:00,Closed,SOC Team
27,DDoS Attempt — Country,Low,DDoS,2022-10-17 04:54:00,2023-11-13 10:18:00,Closed,External Vendor
28,Insider Threat Attempt — Talk,Medium,Data Breach,2024-08-08 12:30:00,2022-03-10 22:40:00,Closed,CISO
29,Data Breach Attempt — Scene,High,Phishing,2023-07-11 09:19:00,2023-06-23 01:30:00,Closed,IR Team
30,Data Breach Attempt — Make,Medium,Phishing,2024-02-12 03:36:00,2024-11-17 20:19:00,Closed,CISO
31,Ransomware Attempt — Expect,High,Ransomware,2025-01-12 15:43:00,2024-07-14 06:43:00,Closed,IR Team
32,Ransomware Attempt — Spend,Medium,Phishing,2024-11-08 09:55:00,2022-07-16 04:08:00,Investigating,SOC Team
33,DDoS Attempt — Despite,High,Data Breach,2022-07-18 23:58:00,2022-03-12 23:52:00,Closed,IR Team
34,Ransomware Attempt — Go,Medium,Ransomware,2023-01-06 12:56:00,2023-03-23 03:27:00,Closed,IR Team
35,Phishing Attempt — Board,Medium,Insider Threat,2023-06-26 09:15:00,,Closed,IR Team
36,Data Breach Attempt — Whether,High,DDoS,2024-07-18 04:32:00,,Investigating,External Vendor
37,Phishing Attempt — Step,Low,Ransomware,2024-11-13 08:22:00,2022-07-10 03:22:00,Closed,External Vendor
38,Phishing Attempt — Fear,Medium,Phishing,2023-06-22 17:44:00,2023-01-23 19:33:00,Closed,SOC Team
39,Phishing Attempt — Picture,Low,DDoS,2024-03-18 01:19:00,2022-07-24 11:59:00,Closed,CISO
