post_id,platform,content_text,campaign_id,published_at,likes,shares,reach
1,Twitter,Successful run then community rise rise.,1,2024-11-17 03:07:00,251,429,97360
2,Instagram,Report explain road probably century role more.,41,2022-01-28 23:53:00,4574,249,55046
3,Instagram,Sure use evidence age.,31,2024-12-16 09:21:00,1688,474,26060
4,Facebook,Outside decade television trial little.,41,2023-01-27 23:15:00,2872,347,60390
5,Facebook,Left truth establish air.,15,2024-07-22 01:49:00,571,347,9740
6,LinkedIn,Without everything type from hand.,13,2023-02-10 23:25:00,684,104,51440
7,Twitter,Clear help measure whatever.,31,2023-10-31 00:26:00,179,160,7984
8,Twitter,Go visit religious.,16,2024-02-06 03:57:00,922,202,31073
9,Instagram,Mother owner also simple.,36,2023-08-13 11:43:00,3694,320,30898
10,Instagram,Quickly full ground soldier usually.,11,2023-12-21 07:00:00,2007,136,86885
11,Twitter,Kind use information loss.,28,2022-01-08 05:28:00,1935,95,16926
12,Instagram,Consumer person five enter treat.,40,2022-09-25 14:08:00,4239,237,3514
13,Twitter,Star yes lead rule card.,12,2023-09-12 23:00:00,133,300,93930
14,Instagram,Mind democratic industry second cost station.,22,2022-06-16 02:00:00,1527,291,31174
15,Facebook,Build activity here majority series attack.,1,2024-04-25 11:26:00,3832,437,73185
16,Facebook,Thus phone west recent history.,41,2024-02-17 08:57:00,2907,310,88484
17,LinkedIn,Project him so story describe market guess.,49,2024-06-23 02:13:00,308,113,21194
18,Twitter,Live born ago consider night nice.,36,2023-08-21 09:11:00,1365,54,27889
19,Facebook,New develop professor nothing.,48,2023-02-22 06:08:00,764,394,31933
20,Twitter,Appear performance subject level sure toward.,49,2022-03-18 01:41:00,412,148,96043
21,Twitter,Word partner writer threat.,40,2023-11-09 12:00:00,1555,14,98673
22,Twitter,Walk score military appear without.,39,2023-02-12 21:00:00,4762,173,66116
23,Instagram,Range law treatment health.,42,2023-01-10 00:10:00,195,394,59476
24,Facebook,Moment include respond.,10,2022-04-13 00:53:00,1410,166,46918
25,Instagram,Parent line common.,39,2023-03-10 02:32:00,3541,3,57135
26,Twitter,Pretty local the want building once sell.,15,2022-08-28 08:15:00,4315,245,36995
27,Facebook,Girl early you record now.,15,2024-10-07 07:00:00,2871,116,46257
28,Instagram,Capital decide spend.,9,2024-09-26 13:15:00,117,17,96531
29,Instagram,Trade throw might let go least knowledge perform.,25,2023-04-15 20:11:00,2664,70,60117
30,Twitter,Cold add very moment arm.,39,2024-06-19 12:31:00,2119,281,71970
31,LinkedIn,Tell though executive attack from college.,15,2022-07-13 08:09:00,64,118,65496
32,Facebook,Business determine agency kitchen personal.,50,2024-03-15 19:19:00,512,407,40643
33,Twitter,Management glass red machine future must.,5,2023-09-01 00:06:00,1921,301,69318
34,Instagram,Onto offer best.,45,2023-09-25 05:39:00,3014,123,93203
35,Twitter,Amount peace training compare easy include.,47,2024-08-04 03:32:00,4801,130,98782
36,Twitter,Quality campaign concern investment fund.,35,2023-08-01 00:50:00,4397,357,82381
37,Facebook,Treat explain ready always soldier try prepare.,27,2023-03-31 16:00:00,1499,337,71545
38,Facebook,She food animal west else.,10,2022-05-22 04:48:00,418,25,37696
39,LinkedIn,Certainly main history production upon painting.,26,2023-07-01 17:56:00,2946,363,12283
40,Facebook,Teach toward blood six TV.,23,2024-04-10 08:34:00,3907,423,4237
41,Twitter,Last why kid thus nice theory.,9,2022-09-05 16:29:00,122,122,80519
42,Facebook,Nor save ten recent structure growth.,47,2022-03-25 23:42:00,4489,400,72279
43,Facebook,Land per whatever beat house specific.,11,2023-04-20 21:54:00,2971,316,34842
44,LinkedIn,Leader character investment wear mean person.,9,2022-05-22 13:36:00,4429,355,6024
45,Instagram,Last particularly first lawyer appear whom everything defense.,36,2022-05-23 07:21:00,3191,104,89850
46,Instagram,Issue entire put our.,10,2022-10-20 08:43:00,2352,221,24169
47,Instagram,Unit else east view.,22,2024-01-16 13:07:00,2989,340,64461
48,Instagram,Address key fall lot operation home attention.,9,2023-04-15 10:42:00,2820,435,11111
49,Instagram,Study health skill condition it recently operation.,9,2024-08-02 08:44:00,4501,151,59785
50,Twitter,Street similar wait.,30,2022-03-29 11:37:00,4905,135,36566
51,Instagram,Property we city well white.,7,2024-07-10 07:20:00,1855,205,7447
52,Instagram,Brother hair through wrong writer child eat.,46,2024-10-21 09:18:00,4083,375,89349
53,LinkedIn,Need game process.,28,2024-09-29 09:00:00,4986,379,8413
54,Twitter,Give only happen center figure future home.,25,2022-03-03 04:40:00,4155,233,83684
55,LinkedIn,According music rich.,2,2024-07-05 02:06:00,211,219,38933
56,LinkedIn,Then four make.,49,2022-10-24 06:09:00,2923,344,98952
57,Instagram,Defense president animal west air top environmental.,37,2024-11-10 00:03:00,4443,274,13037
58,Facebook,Start if pressure by middle.,34,2023-09-08 17:40:00,4948,159,50877
59,Facebook,Run movie pattern quickly your kitchen.,17,2022-05-31 22:04:00,1476,141,94010
60,Twitter,Staff agree marriage analysis analysis material.,10,2024-04-22 01:27:00,674,127,73010
61,Twitter,Between everyone dream the all anything.,47,2022-09-03 15:45:00,1298,379,81924
62,Facebook,Run bag test major final.,10,2022-06-08 17:26:00,3527,227,67881
63,Twitter,Culture nice bar rock stay.,14,2024-04-12 15:20:00,3522,368,59622
64,Instagram,Draw treat learn cost bag group.,46,2024-01-30 18:18:00,4559,203,29479
65,Instagram,Remain son strategy school effort hear maybe.,36,2024-08-25 20:42:00,4336,178,43890
66,Instagram,Business chance set right film ever.,8,2022-06-14 16:39:00,3943,355,17262
67,Facebook,Media think physical economy rise page may.,46,2024-11-28 03:33:00,3634,9,56915
