training_id,employee_id,program_name,provider,start_date,completion_date,status,cost
1,58,SQL Bootcamp,Udemy,2023-02-26,2023-09-12,In Progress,2748.03
2,19,Design Thinking,Udemy,2023-12-10,2024-07-08,Completed,2221.22
3,59,Project Management Professional,Udemy,2023-05-19,2023-03-27,Completed,2009.72
4,224,Communication Skills,Internal,2023-10-16,2024-02-04,Completed,2841.23
5,137,Project Management Professional,Pluralsight,2024-06-04,2024-11-19,In Progress,1601.56
6,263,Excel Advanced,LinkedIn Learning,2024-05-27,2024-06-18,In Progress,2644.17
7,239,Design Thinking,Internal,2023-03-29,,Enrolled,305.48
8,151,Communication Skills,Coursera,2023-02-25,2024-09-26,In Progress,2823.17
9,116,Design Thinking,LinkedIn Learning,2023-04-09,,Enrolled,2890.09
10,105,AWS Cloud Practitioner,Internal,2024-06-13,2024-03-08,Completed,1305.69
11,293,SQL Bootcamp,LinkedIn Learning,2023-05-30,,Completed,2829.09
12,170,Python for Data Science,Udemy,2023-02-20,2023-06-24,Completed,335.09
13,87,Python for Data Science,Internal,2024-02-21,2023-05-09,Dropped,707.72
14,173,AWS Cloud Practitioner,Pluralsight,2023-10-17,2024-06-02,Completed,783.69
15,292,Communication Skills,Coursera,2023-02-01,2024-11-09,In Progress,535.53
16,245,Python for Data Science,LinkedIn Learning,2023-11-21,2024-04-10,Completed,1225.37
17,74,Design Thinking,Internal,2024-02-26,2023-07-06,Completed,1928.2
18,101,Cybersecurity Awareness,LinkedIn Learning,2023-11-25,2023-04-11,Dropped,2177.71
19,62,Cybersecurity Awareness,Udemy,2024-06-08,2025-01-01,Enrolled,1697.49
20,296,Design Thinking,LinkedIn Learning,2023-09-08,2023-04-09,Completed,2955.1
21,26,Python for Data Science,Pluralsight,2023-12-06,2023-03-16,Completed,2918.51
22,16,AWS Cloud Practitioner,LinkedIn Learning,2023-04-17,2024-05-07,Completed,1243.14
23,129,AWS Cloud Practitioner,Udemy,2024-05-17,2023-09-11,Completed,931.87
24,77,Excel Advanced,Coursera,2023-10-27,2024-04-26,Completed,1562.1
25,247,Communication Skills,Udemy,2023-03-18,2024-05-26,In Progress,2784.82
26,151,AWS Cloud Practitioner,Pluralsight,2023-07-01,,Enrolled,1510.28
27,254,Excel Advanced,Pluralsight,2023-05-17,,Completed,306.34
28,246,Cybersecurity Awareness,Coursera,2024-05-17,2024-04-07,Completed,713.49
29,141,Python for Data Science,LinkedIn Learning,2024-02-03,2024-10-30,Enrolled,2112.33
30,164,Leadership Essentials,Pluralsight,2024-02-10,2024-06-07,Completed,1085.16
31,27,Communication Skills,LinkedIn Learning,2024-06-28,2024-04-19,In Progress,1335.83
32,110,Project Management Professional,Pluralsight,2024-01-16,2024-05-05,Completed,2044.48
33,238,Leadership Essentials,Udemy,2023-03-09,2024-09-07,Dropped,2570.1
34,45,Project Management Professional,Internal,2024-05-04,,Enrolled,2942.65
35,6,Python for Data Science,Udemy,2023-06-25,2024-09-14,Enrolled,2335.86
36,142,Excel Advanced,LinkedIn Learning,2023-07-07,2023-11-25,Dropped,50.23
37,6,Agile & Scrum Fundamentals,Pluralsight,2024-05-23,2023-03-13,Completed,2360.13
38,147,Communication Skills,LinkedIn Learning,2023-11-11,2023-05-01,In Progress,2573.28
39,213,SQL Bootcamp,LinkedIn Learning,2024-06-07,2023-11-06,In Progress,620.56
40,92,Python for Data Science,Udemy,2023-05-25,,Completed,2797.86
41,257,Project Management Professional,Coursera,2023-07-31,2024-02-17,Dropped,2226.77
42,252,SQL Bootcamp,LinkedIn Learning,2023-10-21,2024-03-02,Enrolled,682.37
43,297,AWS Cloud Practitioner,LinkedIn Learning,2024-03-04,2023-02-19,Enrolled,379.29
44,67,AWS Cloud Practitioner,Udemy,2023-12-21,2024-02-15,Completed,274.27
45,84,Communication Skills,Internal,2023-11-10,2024-02-18,In Progress,58.92
46,144,Cybersecurity Awareness,LinkedIn Learning,2024-03-30,2023-11-21,In Progress,494.54
47,218,Communication Skills,Udemy,2023-05-29,2023-10-18,Completed,1313.99
48,104,SQL Bootcamp,Udemy,2024-05-29,,Dropped,229.54
49,74,Excel Advanced,LinkedIn Learning,2024-06-22,2024-07-25,In Progress,1314.3
50,58,Project Management Professional,Pluralsight,2023-09-03,2024-03-05,In Progress,1828.98
51,115,Design Thinking,Udemy,2023-09-09,2023-08-20,Completed,2465.86
52,284,SQL Bootcamp,Udemy,2024-02-13,2024-07-27,Completed,1562.54
53,230,Agile & Scrum Fundamentals,Pluralsight,2024-03-20,2023-05-16,Enrolled,1167.73
54,93,AWS Cloud Practitioner,Udemy,2023-12-07,,Enrolled,1923.19
55,121,Project Management Professional,Pluralsight,2024-05-17,2024-11-08,Completed,386.32
56,268,Python for Data Science,Internal,2024-06-12,2024-10-04,Completed,2017.34
57,107,Excel Advanced,Udemy,2023-12-26,,Completed,504.2
58,79,Communication Skills,Internal,2023-07-09,2023-03-30,Completed,1349.08
59,228,SQL Bootcamp,Internal,2024-03-29,2023-09-23,In Progress,1472.34
60,273,Leadership Essentials,Pluralsight,2023-02-16,2024-09-13,Completed,2726.77
61,257,Design Thinking,Pluralsight,2023-08-22,2024-02-06,Completed,1483.43
62,22,Communication Skills,Udemy,2023-09-20,,Completed,2142.1
63,124,AWS Cloud Practitioner,LinkedIn Learning,2024-04-28,2024-03-05,Completed,1608.05
64,141,Design Thinking,Coursera,2024-02-23,2023-04-25,Completed,1761.95
65,11,Communication Skills,Udemy,2024-01-09,2023-08-06,Completed,1238.72
66,105,Design Thinking,Pluralsight,2023-12-23,2023-07-01,Enrolled,1998.53
67,268,Cybersecurity Awareness,Coursera,2023-01-12,2024-08-20,Dropped,2135.39
68,117,SQL Bootcamp,LinkedIn Learning,2024-06-21,2023-02-09,Completed,1884.65
69,262,Communication Skills,Internal,2023-06-14,2023-11-02,In Progress,2635.68
70,161,Python for Data Science,LinkedIn Learning,2023-03-08,2024-10-24,Completed,1534.5
71,240,Agile & Scrum Fundamentals,LinkedIn Learning,2024-05-14,2023-09-20,Enrolled,2856.37
72,165,Agile & Scrum Fundamentals,Internal,2023-10-28,2024-03-08,Completed,231.42
73,256,Design Thinking,Pluralsight,2024-03-31,2023-07-04,Completed,2108.02
74,158,Communication Skills,Coursera,2023-11-28,2023-10-01,Dropped,80.91
75,255,Python for Data Science,Udemy,2024-04-16,2023-04-03,Enrolled,1454.95
76,215,Design Thinking,Internal,2024-03-23,2023-10-08,Enrolled,2091.05
77,164,Leadership Essentials,LinkedIn Learning,2024-01-02,2024-08-21,Completed,1803.29
78,6,Leadership Essentials,Internal,2024-06-12,2023-04-14,Completed,2871.9
79,20,Project Management Professional,LinkedIn Learning,2023-01-07,,Completed,2583.08
80,42,Cybersecurity Awareness,LinkedIn Learning,2024-06-26,2024-01-21,Dropped,696.18
81,300,AWS Cloud Practitioner,Udemy,2023-09-22,2024-01-31,Dropped,1049.22
82,109,AWS Cloud Practitioner,Udemy,2023-04-09,2024-08-02,Dropped,961.97
83,43,Agile & Scrum Fundamentals,Pluralsight,2024-01-18,2024-05-03,Completed,1819.11
84,107,Python for Data Science,Udemy,2023-03-23,2024-09-20,Completed,2740.88
85,247,Python for Data Science,LinkedIn Learning,2024-03-21,2023-04-08,Completed,1322.58
86,107,Communication Skills,Coursera,2023-03-07,2024-07-16,Enrolled,909.24
87,258,Leadership Essentials,Coursera,2024-04-09,2023-02-26,In Progress,1754.82
88,118,SQL Bootcamp,Udemy,2023-03-12,2023-06-16,Completed,2673.04
89,266,Design Thinking,Pluralsight,2024-02-11,,Completed,2820.57
90,4,AWS Cloud Practitioner,Pluralsight,2023-10-21,,Completed,1532.25
91,25,Cybersecurity Awareness,Internal,2023-02-23,2023-08-14,In Progress,1734.32
92,77,Communication Skills,Coursera,2023-09-26,2024-08-13,Completed,2996.52
93,291,Communication Skills,LinkedIn Learning,2023-09-27,2024-08-18,Completed,2921.16
94,140,Python for Data Science,Pluralsight,2023-09-05,2024-04-14,Completed,958.16
95,36,Design Thinking,Udemy,2024-05-26,2023-03-25,In Progress,1149.64
96,262,Project Management Professional,LinkedIn Learning,2024-06-26,2024-01-11,Completed,501.87
97,15,Python for Data Science,LinkedIn Learning,2024-02-06,2024-09-21,In Progress,960.76
98,201,Leadership Essentials,LinkedIn Learning,2023-01-11,2023-06-22,Enrolled,2728.16
99,114,Cybersecurity Awareness,Coursera,2024-03-03,2024-02-19,Enrolled,1326.66
100,29,Cybersecurity Awareness,Coursera,2023-12-24,2024-07-08,Enrolled,1949.56
101,235,Communication Skills,LinkedIn Learning,2024-05-11,2024-09-11,Completed,2423.06
102,294,Agile & Scrum Fundamentals,Pluralsight,2023-04-09,2023-12-13,Completed,715.97
103,78,Design Thinking,Pluralsight,2023-02-12,2023-12-31,Enrolled,293.81
104,291,Communication Skills,Coursera,2023-05-08,,Completed,2724.23
105,140,Project Management Professional,Coursera,2023-11-12,,In Progress,722.24
106,42,Leadership Essentials,Coursera,2023-02-20,,In Progress,2297.65
107,69,Agile & Scrum Fundamentals,Internal,2024-04-05,,In Progress,1679.04
108,113,Agile & Scrum Fundamentals,Coursera,2023-09-07,,Completed,2935.8
109,128,Project Management Professional,Pluralsight,2023-01-14,2024-03-02,Completed,628.46
110,93,SQL Bootcamp,Internal,2023-09-28,2024-02-09,Completed,1240.06
111,283,Communication Skills,Internal,2024-06-28,,In Progress,1034.3
112,284,Python for Data Science,Coursera,2023-02-20,2024-08-23,Completed,1081.54
113,111,SQL Bootcamp,Coursera,2023-12-02,2024-02-17,Enrolled,206.75
114,48,Cybersecurity Awareness,LinkedIn Learning,2023-08-15,2024-01-08,Completed,364.28
115,26,Project Management Professional,Internal,2023-10-08,2023-05-21,In Progress,2645.74
116,267,Leadership Essentials,LinkedIn Learning,2023-04-27,2023-11-05,Completed,323.34
117,175,Excel Advanced,Coursera,2024-04-10,,Completed,2514.91
118,187,Communication Skills,Udemy,2024-02-10,2024-08-03,Completed,906.96
119,161,Cybersecurity Awareness,Udemy,2024-02-13,2024-06-23,Completed,1113.7
120,181,Design Thinking,Pluralsight,2023-02-16,,Completed,880.64
121,68,Agile & Scrum Fundamentals,Pluralsight,2023-04-15,2023-08-05,Completed,1315.67
122,138,SQL Bootcamp,LinkedIn Learning,2023-04-21,2024-03-08,Completed,1185.54
123,83,SQL Bootcamp,Pluralsight,2023-08-28,2024-01-10,Completed,226.42
124,192,Agile & Scrum Fundamentals,Udemy,2023-03-30,2023-04-26,In Progress,277.84
125,101,Cybersecurity Awareness,Internal,2023-04-27,2024-04-30,Enrolled,533.37
126,260,Excel Advanced,Internal,2023-07-12,2024-05-13,Dropped,1754.03
127,99,Project Management Professional,Udemy,2023-06-29,2024-10-28,Enrolled,2254.24
128,248,Communication Skills,Coursera,2024-02-22,2023-07-25,Completed,1661.54
129,268,Excel Advanced,Udemy,2023-05-04,2023-12-19,In Progress,2058.37
130,156,Python for Data Science,Pluralsight,2024-04-03,2023-11-08,Completed,1382.29
131,245,AWS Cloud Practitioner,Pluralsight,2024-03-05,,Completed,1251.61
132,225,Project Management Professional,Pluralsight,2023-02-26,2024-07-03,Enrolled,2235.28
133,135,AWS Cloud Practitioner,LinkedIn Learning,2023-05-08,,Completed,982.96
134,171,Cybersecurity Awareness,Coursera,2023-05-10,2024-02-13,Dropped,1565.92
135,222,Agile & Scrum Fundamentals,LinkedIn Learning,2023-09-15,,Dropped,2542.45
136,45,Project Management Professional,Coursera,2024-01-25,2023-06-01,Completed,1010.0
137,126,Project Management Professional,LinkedIn Learning,2023-07-03,,Enrolled,1174.45
138,49,Excel Advanced,Internal,2023-04-22,2023-12-03,Dropped,1084.57
139,243,Agile & Scrum Fundamentals,Udemy,2024-05-01,2024-07-15,Completed,2185.31
140,46,Agile & Scrum Fundamentals,LinkedIn Learning,2023-03-15,2024-07-03,Completed,1875.01
